(97, 230), (233, 183), (165, 142), (118, 129), (105, 162), (86, 178), (22, 26)
(229, 228), (253, 19), (152, 108), (144, 124), (164, 171), (151, 208), (16, 209)
(251, 220), (179, 2), (100, 123), (137, 168), (161, 185), (164, 219), (4, 246)
(176, 246), (241, 90), (156, 66), (155, 107), (144, 129), (118, 147), (14, 10)
(254, 94), (1, 56), (16, 75), (50, 89), (206, 98), (173, 110), (32, 199)
(134, 236), (235, 155), (192, 136), (163, 144), (137, 182), (111, 177), (18, 20)
(228, 174), (98, 56), (74, 120), (93, 138), (151, 164), (99, 166), (27, 192)
(0, 20), (59, 225), (128, 205), (119, 166), (93, 123), (130, 137), (237, 217)
(12, 239), (244, 146), (164, 101), (117, 136), (57, 165), (61, 141), (46, 16)
(16, 14), (23, 242), (111, 172), (106, 150), (115, 110), (136, 96), (239, 129)
(158, 240), (243, 15), (179, 64), (139, 173), (123, 148), (135, 210), (13, 111)
(216, 8), (37, 46), (153, 183), (177, 137), (174, 182), (197, 131), (193, 249)
(241, 213), (18, 3), (23, 98), (83, 141), (73, 144), (134, 221), (14, 246)
(248, 176), (8, 18), (26, 70), (166, 167), (195, 177), (112, 192), (58, 238)
(7, 159), (248, 255), (228, 228), (68, 160), (25, 150), (74, 86), (124, 1)
(219, 61), (36, 112), (92, 132), (148, 122), (177, 107), (180, 140), (170, 194)
(7, 216), (249, 247), (224, 194), (81, 203), (38, 199), (150, 107), (196, 9)
(118, 235), (254, 18), (180, 70), (150, 122), (100, 184), (61, 172), (5, 173)
(10, 46), (181, 252), (180, 190), (161, 163), (129, 80), (148, 49), (246, 4)
(39, 233), (243, 38), (160, 50), (67, 175), (84, 114), (64, 148), (12, 22)
(136, 206), (251, 80), (208, 95), (157, 158), (161, 124), (129, 163), (4, 50)
(11, 139), (155, 227), (154, 206), (97, 151), (104, 122), (86, 113), (245, 29)
(11, 13), (70, 243), (112, 182), (82, 122), (106, 147), (111, 111), (244, 24)
(196, 27), (26, 164), (110, 184), (145, 132), (138, 162), (183, 147), (230, 228)
(246, 44), (10, 7), (96, 146), (132, 129), (143, 160), (167, 177), (145, 249)
(3, 3), (197, 253), (206, 143), (66, 26), (128, 31), (192, 24), (252, 5)
(68, 242), (238, 72), (168, 61), (83, 187), (76, 92), (55, 79), (17, 13)
(255, 36), (9, 24), (30, 35), (184, 42), (162, 52), (186, 65), (35, 231)
(249, 212), (7, 5), (24, 53), (201, 185), (168, 192), (109, 189), (39, 250)
(12, 210), (202, 249), (189, 173), (168, 171), (173, 151), (167, 103), (243, 40)
(195, 225), (236, 30), (181, 76), (182, 176), (164, 185), (123, 151), (19, 133)
(136, 232), (246, 23), (178, 69), (143, 156), (106, 182), (73, 159), (10, 133)
(100, 14), (47, 242), (82, 228), (92, 201), (150, 168), (163, 169), (210, 210)
(254, 139), (1, 12), (85, 87), (81, 123), (228, 143), (204, 158), (141, 244)
(232, 239), (229, 5), (160, 87), (123, 68), (161, 152), (132, 159), (10, 102)
(255, 40), (1, 112), (57, 122), (89, 136), (229, 61), (214, 91), (187, 216)
(183, 255), (226, 45), (186, 64), (125, 138), (127, 158), (60, 74), (29, 59)
(3, 45), (12, 210), (91, 162), (52, 100), (45, 73), (192, 132), (253, 128)
(144, 211), (240, 95), (161, 109), (145, 164), (125, 82), (124, 128), (18, 48)
(24, 63), (231, 231), (200, 179), (126, 121), (221, 156), (102, 75), (230, 25)
(244, 72), (4, 111), (56, 117), (195, 94), (126, 139), (185, 113), (202, 183)
(223, 244), (254, 47), (229, 62), (211, 118), (131, 54), (163, 148), (0, 0)
(134, 235), (248, 21), (180, 60), (149, 149), (143, 108), (71, 98), (8, 72)
(250, 184), (5, 29), (23, 67), (111, 127), (130, 167), (34, 181), (12, 226)
(195, 14), (28, 241), (102, 182), (158, 104), (144, 193), (196, 139), (227, 186)
(16, 3), (24, 253), (37, 113), (78, 177), (92, 123), (76, 46), (240, 77)
(11, 144), (164, 232), (87, 166), (165, 168), (134, 149), (105, 117), (244, 24)
(10, 6), (154, 249), (142, 171), (173, 172), (166, 149), (179, 103), (246, 9)
(10, 126), (22, 165), (90, 186), (161, 171), (245, 124), (94, 106), (19, 68)
(206, 159), (214, 127), (176, 49), (42, 144), (47, 175), (129, 178), (149, 206)
(214, 201), (228, 183), (153, 54), (40, 87), (126, 157), (24, 153), (139, 197)
(121, 204), (175, 196), (216, 82), (189, 51), (127, 135), (44, 96), (36, 140)
(13, 125), (63, 195), (143, 217), (243, 153), (229, 80), (160, 40), (69, 59)
