(20, 39), (5, 48), (252, 249), (244, 200), (205, 150), (176, 126), (251, 132)
(36, 41), (38, 82), (139, 243), (157, 161), (147, 142), (142, 58), (219, 13)
(47, 138), (52, 158), (239, 229), (190, 172), (103, 146), (121, 134), (158, 66)
(30, 165), (49, 181), (226, 218), (212, 198), (165, 182), (144, 153), (184, 38)
(239, 44), (223, 19), (12, 151), (99, 144), (100, 170), (206, 96), (225, 236)
(28, 4), (2, 24), (225, 252), (217, 188), (223, 129), (139, 58), (250, 57)
(37, 2), (6, 30), (132, 254), (143, 192), (106, 91), (195, 109), (250, 71)
(2, 11), (1, 68), (201, 254), (191, 190), (172, 143), (220, 38), (254, 3)
(89, 178), (129, 182), (240, 115), (144, 141), (123, 113), (95, 132), (8, 74)
(7, 8), (11, 53), (228, 248), (213, 197), (219, 126), (205, 99), (249, 16)
(57, 111), (27, 156), (175, 205), (144, 173), (152, 150), (150, 101), (229, 51)
(140, 44), (16, 49), (51, 211), (85, 175), (122, 153), (192, 133), (239, 130)
(32, 78), (66, 139), (199, 223), (185, 169), (147, 125), (93, 92), (226, 32)
(31, 230), (120, 228), (224, 206), (180, 157), (145, 160), (87, 142), (101, 25)
(245, 70), (168, 35), (11, 139), (78, 158), (154, 134), (181, 154), (165, 221)
(241, 12), (107, 33), (5, 97), (66, 102), (79, 127), (219, 71), (246, 244)
(46, 8), (23, 129), (121, 247), (119, 144), (136, 130), (99, 60), (232, 112)
(63, 28), (52, 81), (61, 201), (81, 177), (86, 127), (142, 157), (204, 227)
(222, 110), (209, 78), (33, 51), (87, 75), (94, 121), (184, 145), (146, 205)
(225, 85), (139, 101), (31, 169), (98, 147), (142, 155), (176, 136), (164, 170)
(13, 65), (111, 185), (222, 254), (160, 168), (193, 144), (192, 37), (243, 1)
(239, 53), (147, 46), (16, 93), (94, 86), (154, 142), (206, 176), (207, 210)
(254, 95), (134, 25), (3, 62), (39, 76), (122, 153), (150, 195), (130, 231)
(234, 201), (249, 174), (7, 18), (97, 140), (200, 196), (156, 205), (145, 238)
(17, 58), (29, 119), (223, 242), (179, 168), (114, 107), (213, 122), (238, 11)
(180, 225), (185, 193), (70, 34), (99, 125), (134, 179), (93, 156), (79, 178)
(240, 22), (136, 37), (6, 234), (92, 165), (113, 174), (99, 203), (249, 175)
(228, 138), (232, 99), (24, 95), (89, 114), (105, 128), (35, 135), (26, 160)
(96, 210), (147, 236), (215, 238), (196, 227), (145, 167), (153, 146), (110, 17)
(218, 249), (229, 176), (201, 7), (182, 33), (186, 177), (167, 186), (27, 90)
(18, 29), (190, 247), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)
(255, 186), (212, 25), (8, 127), (87, 159), (168, 178), (173, 210), (134, 231)
(17, 206), (150, 233), (239, 209), (175, 178), (90, 83), (68, 91), (83, 23)
(171, 215), (225, 101), (173, 41), (167, 108), (117, 135), (95, 156), (30, 150)
(250, 6), (5, 9), (43, 149), (100, 138), (163, 141), (228, 158), (240, 250)
(24, 200), (91, 240), (219, 253), (146, 209), (82, 195), (206, 110), (231, 7)
(249, 87), (135, 19), (5, 156), (75, 166), (173, 138), (132, 195), (165, 237)
(204, 85), (92, 15), (51, 206), (118, 168), (166, 157), (149, 220), (179, 240)
(221, 149), (109, 7), (35, 5), (60, 33), (108, 151), (86, 177), (88, 250)
(144, 219), (218, 152), (254, 83), (206, 121), (111, 145), (71, 93), (7, 41)
(35, 177), (135, 183), (221, 172), (125, 162), (73, 139), (54, 115), (42, 72)
(32, 219), (110, 244), (223, 231), (130, 210), (152, 190), (57, 167), (45, 12)
(49, 8), (0, 245), (79, 248), (80, 203), (101, 202), (187, 107), (227, 100)
(24, 152), (131, 230), (215, 219), (151, 169), (129, 161), (168, 157), (106, 25)
(140, 240), (232, 238), (201, 15), (148, 172), (128, 179), (91, 105), (24, 142)
(95, 16), (41, 238), (78, 240), (104, 177), (139, 130), (151, 95), (215, 88)
(45, 178), (172, 247), (233, 239), (167, 208), (150, 164), (125, 127), (187, 9)
(47, 45), (21, 201), (134, 232), (110, 156), (108, 108), (167, 145), (234, 79)
