0,1,2,3,4,5
,0001101,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113)] - 0011","[(71, 52), (163, 9)] - 01",B
,0001101,"(190, 247) - 0",[] - ,"[(18, 29), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 001101",B
,0001101,"(190, 247) - 0","[(247, 235), (202, 179)] - 01","[(18, 29), (166, 113), (71, 52), (163, 9)] - 0101",B
,0001101,"(247, 235) - 0",[] - ,"[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52), (163, 9)] - 001101",B
,0001101,"(18, 29) - 0","[(190, 247)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 01101",I
,0001101,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 00110","[(163, 9)] - 1",I
,0001101,"(18, 29) - 0","[(190, 247), (247, 235)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 1101",I
,0001101,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179)] - 001","[(166, 113), (71, 52), (163, 9)] - 101",I
,0001101,"(190, 247) - 0","[(18, 29)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 01101",I
,0001101,"(190, 247) - 0","[(247, 235)] - 0","[(18, 29), (202, 179), (166, 113), (71, 52), (163, 9)] - 01101",I
,0001101,"(190, 247) - 0","[(247, 235), (202, 179), (166, 113), (163, 9)] - 0111","[(18, 29), (71, 52)] - 00",I
,0001101,"(190, 247) - 0","[(247, 235), (202, 179), (163, 9)] - 011","[(18, 29), (166, 113), (71, 52)] - 010",I
,0001101,"(247, 235) - 0","[(163, 9)] - 1","[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52)] - 00110",I
,0001101,"(247, 235) - 0","[(18, 29), (190, 247)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 1101",I
,0001101,"(247, 235) - 0","[(166, 113), (163, 9)] - 11","[(18, 29), (190, 247), (202, 179), (71, 52)] - 0010",I
,0001101,"(247, 235) - 0","[(202, 179), (166, 113), (163, 9)] - 111","[(18, 29), (190, 247), (71, 52)] - 000",I
,0001101,"(202, 179) - 1","[(166, 113), (163, 9)] - 11","[(18, 29), (190, 247), (247, 235), (71, 52)] - 0000",I
,0001101,"(202, 179) - 1","[(18, 29), (190, 247), (247, 235)] - 000","[(166, 113), (71, 52), (163, 9)] - 101",I
,0001101,"(166, 113) - 1","[(163, 9)] - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (71, 52)] - 00010",I
,0001101,"(166, 113) - 1","[(18, 29), (190, 247), (247, 235), (202, 179)] - 0001","[(71, 52), (163, 9)] - 01",I
,0001101,"(71, 52) - 0","[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113)] - 00011","[(163, 9)] - 1",I
,0001101,"(163, 9) - 1",[] - ,"[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 000110",I
,0001110,"(18, 29) - 0",[] - ,"[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 001110",B
,0001110,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113)] - 0011","[(71, 52), (163, 9)] - 10",B
,0001110,"(190, 247) - 0",[] - ,"[(18, 29), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 001110",B
,0001110,"(190, 247) - 0","[(247, 235), (202, 179), (166, 113), (163, 9)] - 0110","[(18, 29), (71, 52)] - 01",B
,0001110,"(190, 247) - 0","[(247, 235), (202, 179)] - 01","[(18, 29), (166, 113), (71, 52), (163, 9)] - 0110",B
,0001110,"(247, 235) - 0",[] - ,"[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52), (163, 9)] - 001110",B
,0001110,"(247, 235) - 0","[(166, 113), (163, 9)] - 10","[(18, 29), (190, 247), (202, 179), (71, 52)] - 0011",B
,0001110,"(166, 113) - 1","[(163, 9)] - 0","[(18, 29), (190, 247), (247, 235), (202, 179), (71, 52)] - 00011",B
,0001110,"(71, 52) - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113)] - 00011","[(163, 9)] - 0",B
,0001110,"(163, 9) - 0",[] - ,"[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 000111",B
,0001110,"(18, 29) - 0","[(190, 247)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 01110",I
,0001110,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 00111","[(163, 9)] - 0",I
,0001110,"(18, 29) - 0","[(190, 247), (247, 235)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 1110",I
,0001110,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179)] - 001","[(166, 113), (71, 52), (163, 9)] - 110",I
,0001110,"(190, 247) - 0","[(18, 29)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 01110",I
,0001110,"(190, 247) - 0","[(247, 235)] - 0","[(18, 29), (202, 179), (166, 113), (71, 52), (163, 9)] - 01110",I
,0001110,"(190, 247) - 0","[(247, 235), (202, 179), (163, 9)] - 010","[(18, 29), (166, 113), (71, 52)] - 011",I
,0001110,"(247, 235) - 0","[(163, 9)] - 0","[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52)] - 00111",I
,0001110,"(247, 235) - 0","[(18, 29), (190, 247)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 1110",I
,0001110,"(247, 235) - 0","[(202, 179), (166, 113), (163, 9)] - 110","[(18, 29), (190, 247), (71, 52)] - 001",I
,0001110,"(202, 179) - 1","[(166, 113), (163, 9)] - 10","[(18, 29), (190, 247), (247, 235), (71, 52)] - 0001",I
,0001110,"(202, 179) - 1","[(18, 29), (190, 247), (247, 235)] - 000","[(166, 113), (71, 52), (163, 9)] - 110",I
,0001110,"(166, 113) - 1","[(18, 29), (190, 247), (247, 235), (202, 179)] - 0001","[(71, 52), (163, 9)] - 10",I
,0010011,"(18, 29) - 0",[] - ,"[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 010011",B
,0010011,"(18, 29) - 0","[(190, 247), (247, 235)] - 01","[(202, 179), (166, 113), (71, 52), (163, 9)] - 0011",B
,0010011,"(190, 247) - 0",[] - ,"[(18, 29), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 010011",B
,0010011,"(190, 247) - 0","[(247, 235), (202, 179), (166, 113), (163, 9)] - 1001","[(18, 29), (71, 52)] - 01",B
,0010011,"(190, 247) - 0","[(247, 235), (202, 179)] - 10","[(18, 29), (166, 113), (71, 52), (163, 9)] - 0011",B
,0010011,"(247, 235) - 1","[(202, 179), (166, 113), (163, 9)] - 001","[(18, 29), (190, 247), (71, 52)] - 001",B
,0010011,"(202, 179) - 0","[(166, 113), (163, 9)] - 01","[(18, 29), (190, 247), (247, 235), (71, 52)] - 0011",B
,0010011,"(18, 29) - 0","[(190, 247)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 10011",I
,0010011,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 01001","[(163, 9)] - 1",I
,0010011,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113)] - 0100","[(71, 52), (163, 9)] - 11",I
,0010011,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179)] - 010","[(166, 113), (71, 52), (163, 9)] - 011",I
,0010011,"(190, 247) - 0","[(18, 29)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 10011",I
,0010011,"(190, 247) - 0","[(247, 235)] - 1","[(18, 29), (202, 179), (166, 113), (71, 52), (163, 9)] - 00011",I
,0010011,"(190, 247) - 0","[(247, 235), (202, 179), (163, 9)] - 101","[(18, 29), (166, 113), (71, 52)] - 001",I
,0010011,"(247, 235) - 1",[] - ,"[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52), (163, 9)] - 000011",I
,0010011,"(247, 235) - 1","[(163, 9)] - 1","[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52)] - 00001",I
,0010011,"(247, 235) - 1","[(18, 29), (190, 247)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 0011",I
,0010011,"(247, 235) - 1","[(166, 113), (163, 9)] - 01","[(18, 29), (190, 247), (202, 179), (71, 52)] - 0001",I
,0010011,"(202, 179) - 0","[(18, 29), (190, 247), (247, 235)] - 001","[(166, 113), (71, 52), (163, 9)] - 011",I
,0010011,"(166, 113) - 0","[(163, 9)] - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (71, 52)] - 00101",I
,0010011,"(166, 113) - 0","[(18, 29), (190, 247), (247, 235), (202, 179)] - 0010","[(71, 52), (163, 9)] - 11",I
,0010011,"(71, 52) - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113)] - 00100","[(163, 9)] - 1",I
,0010011,"(163, 9) - 1",[] - ,"[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 001001",I
,0010101,"(18, 29) - 0",[] - ,"[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 010101",B
,0010101,"(18, 29) - 0","[(190, 247), (247, 235)] - 01","[(202, 179), (166, 113), (71, 52), (163, 9)] - 0101",B
,0010101,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113)] - 0101","[(71, 52), (163, 9)] - 01",B
,0010101,"(190, 247) - 0",[] - ,"[(18, 29), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 010101",B
,0010101,"(190, 247) - 0","[(247, 235), (202, 179)] - 10","[(18, 29), (166, 113), (71, 52), (163, 9)] - 0101",B
,0010101,"(18, 29) - 0","[(190, 247)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 10101",I
,0010101,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 01010","[(163, 9)] - 1",I
,0010101,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179)] - 010","[(166, 113), (71, 52), (163, 9)] - 101",I
,0010101,"(190, 247) - 0","[(18, 29)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 10101",I
,0010101,"(190, 247) - 0","[(247, 235)] - 1","[(18, 29), (202, 179), (166, 113), (71, 52), (163, 9)] - 00101",I
,0010101,"(190, 247) - 0","[(247, 235), (202, 179), (166, 113), (163, 9)] - 1011","[(18, 29), (71, 52)] - 00",I
,0010101,"(190, 247) - 0","[(247, 235), (202, 179), (163, 9)] - 101","[(18, 29), (166, 113), (71, 52)] - 010",I
,0010101,"(247, 235) - 1",[] - ,"[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52), (163, 9)] - 000101",I
,0010101,"(247, 235) - 1","[(163, 9)] - 1","[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52)] - 00010",I
,0010101,"(247, 235) - 1","[(18, 29), (190, 247)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 0101",I
,0010101,"(247, 235) - 1","[(166, 113), (163, 9)] - 11","[(18, 29), (190, 247), (202, 179), (71, 52)] - 0000",I
,0010101,"(247, 235) - 1","[(202, 179), (166, 113), (163, 9)] - 011","[(18, 29), (190, 247), (71, 52)] - 000",I
,0010101,"(202, 179) - 0","[(166, 113), (163, 9)] - 11","[(18, 29), (190, 247), (247, 235), (71, 52)] - 0010",I
,0010101,"(202, 179) - 0","[(18, 29), (190, 247), (247, 235)] - 001","[(166, 113), (71, 52), (163, 9)] - 101",I
,0010101,"(166, 113) - 1","[(163, 9)] - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (71, 52)] - 00100",I
,0010101,"(166, 113) - 1","[(18, 29), (190, 247), (247, 235), (202, 179)] - 0010","[(71, 52), (163, 9)] - 01",I
,0010101,"(71, 52) - 0","[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113)] - 00101","[(163, 9)] - 1",I
,0010101,"(163, 9) - 1",[] - ,"[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 001010",I
,0010110,"(18, 29) - 0",[] - ,"[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 010110",B
,0010110,"(18, 29) - 0","[(190, 247), (247, 235)] - 01","[(202, 179), (166, 113), (71, 52), (163, 9)] - 0110",B
,0010110,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113)] - 0101","[(71, 52), (163, 9)] - 10",B
,0010110,"(190, 247) - 0",[] - ,"[(18, 29), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 010110",B
,0010110,"(190, 247) - 0","[(247, 235), (202, 179), (166, 113), (163, 9)] - 1010","[(18, 29), (71, 52)] - 01",B
,0010110,"(190, 247) - 0","[(247, 235), (202, 179)] - 10","[(18, 29), (166, 113), (71, 52), (163, 9)] - 0110",B
,0010110,"(247, 235) - 1","[(163, 9)] - 0","[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52)] - 00011",B
,0010110,"(247, 235) - 1","[(202, 179), (166, 113), (163, 9)] - 010","[(18, 29), (190, 247), (71, 52)] - 001",B
,0010110,"(202, 179) - 0","[(166, 113), (163, 9)] - 10","[(18, 29), (190, 247), (247, 235), (71, 52)] - 0011",B
,0010110,"(166, 113) - 1","[(163, 9)] - 0","[(18, 29), (190, 247), (247, 235), (202, 179), (71, 52)] - 00101",B
,0010110,"(71, 52) - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113)] - 00101","[(163, 9)] - 0",B
,0010110,"(163, 9) - 0",[] - ,"[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 001011",B
,0010110,"(18, 29) - 0","[(190, 247)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 10110",I
,0010110,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 01011","[(163, 9)] - 0",I
,0010110,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179)] - 010","[(166, 113), (71, 52), (163, 9)] - 110",I
,0010110,"(190, 247) - 0","[(18, 29)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 10110",I
,0010110,"(190, 247) - 0","[(247, 235)] - 1","[(18, 29), (202, 179), (166, 113), (71, 52), (163, 9)] - 00110",I
,0010110,"(190, 247) - 0","[(247, 235), (202, 179), (163, 9)] - 100","[(18, 29), (166, 113), (71, 52)] - 011",I
,0010110,"(247, 235) - 1",[] - ,"[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52), (163, 9)] - 000110",I
,0010110,"(247, 235) - 1","[(18, 29), (190, 247)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 0110",I
,0010110,"(247, 235) - 1","[(166, 113), (163, 9)] - 10","[(18, 29), (190, 247), (202, 179), (71, 52)] - 0001",I
,0010110,"(202, 179) - 0","[(18, 29), (190, 247), (247, 235)] - 001","[(166, 113), (71, 52), (163, 9)] - 110",I
,0010110,"(166, 113) - 1","[(18, 29), (190, 247), (247, 235), (202, 179)] - 0010","[(71, 52), (163, 9)] - 10",I
,0011001,"(18, 29) - 0",[] - ,"[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 011001",B
,0011001,"(18, 29) - 0","[(190, 247), (247, 235)] - 01","[(202, 179), (166, 113), (71, 52), (163, 9)] - 1001",B
,0011001,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113)] - 0110","[(71, 52), (163, 9)] - 01",B
,0011001,"(190, 247) - 0",[] - ,"[(18, 29), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 011001",B
,0011001,"(202, 179) - 1","[(18, 29), (190, 247), (247, 235)] - 001","[(166, 113), (71, 52), (163, 9)] - 001",B
,0011001,"(166, 113) - 0","[(18, 29), (190, 247), (247, 235), (202, 179)] - 0011","[(71, 52), (163, 9)] - 01",B
,0011001,"(18, 29) - 0","[(190, 247)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 11001",I
,0011001,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 01100","[(163, 9)] - 1",I
