0,1,2,3,4,5
,0000111,"(221, 149) - 0",[] - ,"[(109, 7), (35, 5), (60, 33), (108, 151), (86, 177), (88, 250)] - 000111",B
,0000111,"(109, 7) - 0",[] - ,"[(221, 149), (35, 5), (60, 33), (108, 151), (86, 177), (88, 250)] - 000111",B
,0000111,"(109, 7) - 0","[(221, 149), (108, 151)] - 01","[(35, 5), (60, 33), (86, 177), (88, 250)] - 0011",B
,0000111,"(221, 149) - 0","[(109, 7)] - 0","[(35, 5), (60, 33), (108, 151), (86, 177), (88, 250)] - 00111",I
,0000111,"(221, 149) - 0","[(88, 250)] - 1","[(109, 7), (35, 5), (60, 33), (108, 151), (86, 177)] - 00011",I
,0000111,"(221, 149) - 0","[(109, 7), (35, 5)] - 00","[(60, 33), (108, 151), (86, 177), (88, 250)] - 0111",I
,0000111,"(221, 149) - 0","[(86, 177), (88, 250)] - 11","[(109, 7), (35, 5), (60, 33), (108, 151)] - 0001",I
,0000111,"(221, 149) - 0","[(109, 7), (35, 5), (60, 33)] - 000","[(108, 151), (86, 177), (88, 250)] - 111",I
,0000111,"(109, 7) - 0","[(221, 149)] - 0","[(35, 5), (60, 33), (108, 151), (86, 177), (88, 250)] - 00111",I
,0000111,"(109, 7) - 0","[(221, 149), (60, 33), (108, 151), (86, 177), (88, 250)] - 00111","[(35, 5)] - 0",I
,0000111,"(109, 7) - 0","[(221, 149), (108, 151), (86, 177), (88, 250)] - 0111","[(35, 5), (60, 33)] - 00",I
,0000111,"(109, 7) - 0","[(221, 149), (108, 151), (88, 250)] - 011","[(35, 5), (60, 33), (86, 177)] - 001",I
,0000111,"(35, 5) - 0","[(221, 149), (109, 7), (60, 33), (108, 151), (86, 177), (88, 250)] - 000111",[] - ,I
,0000111,"(35, 5) - 0","[(221, 149), (109, 7), (60, 33), (108, 151), (86, 177)] - 00011","[(88, 250)] - 1",I
,0000111,"(35, 5) - 0","[(221, 149), (109, 7)] - 00","[(60, 33), (108, 151), (86, 177), (88, 250)] - 0111",I
,0000111,"(35, 5) - 0","[(221, 149), (109, 7), (60, 33), (108, 151)] - 0001","[(86, 177), (88, 250)] - 11",I
,0000111,"(35, 5) - 0","[(221, 149), (109, 7), (60, 33)] - 000","[(108, 151), (86, 177), (88, 250)] - 111",I
,0000111,"(60, 33) - 0","[(221, 149), (109, 7), (35, 5)] - 000","[(108, 151), (86, 177), (88, 250)] - 111",I
,0000111,"(108, 151) - 1","[(86, 177), (88, 250)] - 11","[(221, 149), (109, 7), (35, 5), (60, 33)] - 0000",I
,0000111,"(86, 177) - 1","[(88, 250)] - 1","[(221, 149), (109, 7), (35, 5), (60, 33), (108, 151)] - 00001",I
,0000111,"(88, 250) - 1",[] - ,"[(221, 149), (109, 7), (35, 5), (60, 33), (108, 151), (86, 177)] - 000011",I
,0001011,"(221, 149) - 0",[] - ,"[(109, 7), (35, 5), (60, 33), (108, 151), (86, 177), (88, 250)] - 001011",B
,0001011,"(109, 7) - 0",[] - ,"[(221, 149), (35, 5), (60, 33), (108, 151), (86, 177), (88, 250)] - 001011",B
,0001011,"(109, 7) - 0","[(221, 149), (108, 151), (86, 177), (88, 250)] - 0011","[(35, 5), (60, 33)] - 01",B
,0001011,"(221, 149) - 0","[(109, 7)] - 0","[(35, 5), (60, 33), (108, 151), (86, 177), (88, 250)] - 01011",I
,0001011,"(221, 149) - 0","[(88, 250)] - 1","[(109, 7), (35, 5), (60, 33), (108, 151), (86, 177)] - 00101",I
,0001011,"(221, 149) - 0","[(109, 7), (35, 5)] - 00","[(60, 33), (108, 151), (86, 177), (88, 250)] - 1011",I
,0001011,"(221, 149) - 0","[(86, 177), (88, 250)] - 11","[(109, 7), (35, 5), (60, 33), (108, 151)] - 0010",I
,0001011,"(221, 149) - 0","[(109, 7), (35, 5), (60, 33)] - 001","[(108, 151), (86, 177), (88, 250)] - 011",I
,0001011,"(109, 7) - 0","[(221, 149)] - 0","[(35, 5), (60, 33), (108, 151), (86, 177), (88, 250)] - 01011",I
,0001011,"(109, 7) - 0","[(221, 149), (60, 33), (108, 151), (86, 177), (88, 250)] - 01011","[(35, 5)] - 0",I
,0001011,"(109, 7) - 0","[(221, 149), (108, 151)] - 00","[(35, 5), (60, 33), (86, 177), (88, 250)] - 0111",I
,0001011,"(109, 7) - 0","[(221, 149), (108, 151), (88, 250)] - 001","[(35, 5), (60, 33), (86, 177)] - 011",I
,0001011,"(35, 5) - 0","[(221, 149), (109, 7), (60, 33), (108, 151), (86, 177), (88, 250)] - 001011",[] - ,I
,0001011,"(35, 5) - 0","[(221, 149), (109, 7), (60, 33), (108, 151), (86, 177)] - 00101","[(88, 250)] - 1",I
,0001011,"(35, 5) - 0","[(221, 149), (109, 7)] - 00","[(60, 33), (108, 151), (86, 177), (88, 250)] - 1011",I
