0,1,2,3,4,5
,0000111,"(197, 253) - 0",[] - ,"[(3, 3), (206, 143), (66, 26), (128, 31), (192, 24), (252, 5)] - 000111",B
,0000111,"(197, 253) - 0","[(206, 143), (252, 5)] - 01","[(3, 3), (66, 26), (128, 31), (192, 24)] - 0011",B
,0000111,"(3, 3) - 0","[(197, 253), (206, 143), (66, 26), (128, 31), (192, 24), (252, 5)] - 000111",[] - ,I
,0000111,"(3, 3) - 0","[(197, 253)] - 0","[(206, 143), (66, 26), (128, 31), (192, 24), (252, 5)] - 00111",I
,0000111,"(3, 3) - 0","[(197, 253), (206, 143), (66, 26), (128, 31), (192, 24)] - 00011","[(252, 5)] - 1",I
,0000111,"(3, 3) - 0","[(197, 253), (206, 143)] - 00","[(66, 26), (128, 31), (192, 24), (252, 5)] - 0111",I
,0000111,"(3, 3) - 0","[(197, 253), (206, 143), (66, 26), (128, 31)] - 0001","[(192, 24), (252, 5)] - 11",I
,0000111,"(3, 3) - 0","[(197, 253), (206, 143), (66, 26)] - 000","[(128, 31), (192, 24), (252, 5)] - 111",I
,0000111,"(197, 253) - 0","[(206, 143), (66, 26), (128, 31), (192, 24), (252, 5)] - 00111","[(3, 3)] - 0",I
,0000111,"(197, 253) - 0","[(252, 5)] - 1","[(3, 3), (206, 143), (66, 26), (128, 31), (192, 24)] - 00011",I
,0000111,"(197, 253) - 0","[(206, 143), (128, 31), (192, 24), (252, 5)] - 0111","[(3, 3), (66, 26)] - 00",I
,0000111,"(197, 253) - 0","[(206, 143), (192, 24), (252, 5)] - 011","[(3, 3), (66, 26), (128, 31)] - 001",I
,0000111,"(206, 143) - 0","[(252, 5)] - 1","[(3, 3), (197, 253), (66, 26), (128, 31), (192, 24)] - 00011",I
,0000111,"(206, 143) - 0","[(3, 3), (197, 253)] - 00","[(66, 26), (128, 31), (192, 24), (252, 5)] - 0111",I
,0000111,"(206, 143) - 0","[(192, 24), (252, 5)] - 11","[(3, 3), (197, 253), (66, 26), (128, 31)] - 0001",I
,0000111,"(206, 143) - 0","[(128, 31), (192, 24), (252, 5)] - 111","[(3, 3), (197, 253), (66, 26)] - 000",I
,0000111,"(66, 26) - 0","[(3, 3), (197, 253), (206, 143)] - 000","[(128, 31), (192, 24), (252, 5)] - 111",I
,0000111,"(128, 31) - 1","[(192, 24), (252, 5)] - 11","[(3, 3), (197, 253), (206, 143), (66, 26)] - 0000",I
,0000111,"(192, 24) - 1","[(252, 5)] - 1","[(3, 3), (197, 253), (206, 143), (66, 26), (128, 31)] - 00001",I
,0000111,"(252, 5) - 1",[] - ,"[(3, 3), (197, 253), (206, 143), (66, 26), (128, 31), (192, 24)] - 000011",I
,0001011,"(197, 253) - 0",[] - ,"[(3, 3), (206, 143), (66, 26), (128, 31), (192, 24), (252, 5)] - 001011",B
,0001011,"(197, 253) - 0","[(206, 143), (128, 31), (192, 24), (252, 5)] - 0011","[(3, 3), (66, 26)] - 01",B
,0001011,"(197, 253) - 0","[(206, 143), (252, 5)] - 01","[(3, 3), (66, 26), (128, 31), (192, 24)] - 0101",B
,0001011,"(3, 3) - 0","[(197, 253), (206, 143), (66, 26), (128, 31), (192, 24), (252, 5)] - 001011",[] - ,I
,0001011,"(3, 3) - 0","[(197, 253)] - 0","[(206, 143), (66, 26), (128, 31), (192, 24), (252, 5)] - 01011",I
,0001011,"(3, 3) - 0","[(197, 253), (206, 143), (66, 26), (128, 31), (192, 24)] - 00101","[(252, 5)] - 1",I
