0,1,2,3,4,5
,0000111,"(97, 217) - 0",[] - ,"[(117, 231), (239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 000111",B
,0000111,"(117, 231) - 0",[] - ,"[(97, 217), (239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 000111",B
,0000111,"(117, 231) - 0","[(97, 217), (23, 58)] - 01","[(239, 174), (232, 25), (143, 132), (122, 134)] - 0011",B
,0000111,"(239, 174) - 0",[] - ,"[(97, 217), (117, 231), (232, 25), (143, 132), (122, 134), (23, 58)] - 000111",B
,0000111,"(239, 174) - 0","[(97, 217), (117, 231), (143, 132), (122, 134)] - 0011","[(232, 25), (23, 58)] - 01",B
,0000111,"(232, 25) - 0",[] - ,"[(97, 217), (117, 231), (239, 174), (143, 132), (122, 134), (23, 58)] - 000111",B
,0000111,"(97, 217) - 0","[(117, 231)] - 0","[(239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 00111",I
,0000111,"(97, 217) - 0","[(23, 58)] - 1","[(117, 231), (239, 174), (232, 25), (143, 132), (122, 134)] - 00011",I
,0000111,"(97, 217) - 0","[(117, 231), (239, 174)] - 00","[(232, 25), (143, 132), (122, 134), (23, 58)] - 0111",I
,0000111,"(97, 217) - 0","[(117, 231), (239, 174), (232, 25), (143, 132)] - 0001","[(122, 134), (23, 58)] - 11",I
,0000111,"(97, 217) - 0","[(117, 231), (239, 174), (232, 25)] - 000","[(143, 132), (122, 134), (23, 58)] - 111",I
,0000111,"(117, 231) - 0","[(97, 217)] - 0","[(239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 00111",I
,0000111,"(117, 231) - 0","[(239, 174)] - 0","[(97, 217), (232, 25), (143, 132), (122, 134), (23, 58)] - 00111",I
,0000111,"(117, 231) - 0","[(239, 174), (232, 25)] - 00","[(97, 217), (143, 132), (122, 134), (23, 58)] - 0111",I
,0000111,"(117, 231) - 0","[(239, 174), (232, 25), (143, 132)] - 001","[(97, 217), (122, 134), (23, 58)] - 011",I
,0000111,"(239, 174) - 0","[(232, 25)] - 0","[(97, 217), (117, 231), (143, 132), (122, 134), (23, 58)] - 00111",I
,0000111,"(239, 174) - 0","[(97, 217), (117, 231)] - 00","[(232, 25), (143, 132), (122, 134), (23, 58)] - 0111",I
,0000111,"(239, 174) - 0","[(97, 217), (117, 231), (122, 134)] - 001","[(232, 25), (143, 132), (23, 58)] - 011",I
,0000111,"(232, 25) - 0","[(97, 217), (117, 231), (239, 174), (143, 132), (122, 134)] - 00011","[(23, 58)] - 1",I
,0000111,"(232, 25) - 0","[(97, 217), (117, 231), (239, 174), (143, 132)] - 0001","[(122, 134), (23, 58)] - 11",I
,0000111,"(232, 25) - 0","[(97, 217), (117, 231), (239, 174)] - 000","[(143, 132), (122, 134), (23, 58)] - 111",I
,0000111,"(143, 132) - 1","[(97, 217), (117, 231), (239, 174), (232, 25)] - 0000","[(122, 134), (23, 58)] - 11",I
,0000111,"(122, 134) - 1","[(97, 217), (117, 231), (239, 174), (232, 25), (143, 132)] - 00001","[(23, 58)] - 1",I
,0000111,"(23, 58) - 1",[] - ,"[(97, 217), (117, 231), (239, 174), (232, 25), (143, 132), (122, 134)] - 000011",I
,0001011,"(97, 217) - 0",[] - ,"[(117, 231), (239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 001011",B
,0001011,"(117, 231) - 0",[] - ,"[(97, 217), (239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 001011",B
,0001011,"(117, 231) - 0","[(97, 217), (23, 58)] - 01","[(239, 174), (232, 25), (143, 132), (122, 134)] - 0101",B
,0001011,"(117, 231) - 0","[(239, 174), (232, 25)] - 01","[(97, 217), (143, 132), (122, 134), (23, 58)] - 0011",B
,0001011,"(239, 174) - 0",[] - ,"[(97, 217), (117, 231), (232, 25), (143, 132), (122, 134), (23, 58)] - 001011",B
,0001011,"(97, 217) - 0","[(117, 231)] - 0","[(239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 01011",I
,0001011,"(97, 217) - 0","[(23, 58)] - 1","[(117, 231), (239, 174), (232, 25), (143, 132), (122, 134)] - 00101",I
,0001011,"(97, 217) - 0","[(117, 231), (239, 174)] - 00","[(232, 25), (143, 132), (122, 134), (23, 58)] - 1011",I
,0001011,"(97, 217) - 0","[(117, 231), (239, 174), (232, 25), (143, 132)] - 0010","[(122, 134), (23, 58)] - 11",I
,0001011,"(97, 217) - 0","[(117, 231), (239, 174), (232, 25)] - 001","[(143, 132), (122, 134), (23, 58)] - 011",I
,0001011,"(117, 231) - 0","[(97, 217)] - 0","[(239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 01011",I
,0001011,"(117, 231) - 0","[(239, 174)] - 0","[(97, 217), (232, 25), (143, 132), (122, 134), (23, 58)] - 01011",I
,0001011,"(117, 231) - 0","[(239, 174), (232, 25), (143, 132)] - 010","[(97, 217), (122, 134), (23, 58)] - 011",I
,0001011,"(239, 174) - 0","[(232, 25)] - 1","[(97, 217), (117, 231), (143, 132), (122, 134), (23, 58)] - 00011",I
,0001011,"(239, 174) - 0","[(97, 217), (117, 231)] - 00","[(232, 25), (143, 132), (122, 134), (23, 58)] - 1011",I
,0001011,"(239, 174) - 0","[(97, 217), (117, 231), (143, 132), (122, 134)] - 0001","[(232, 25), (23, 58)] - 11",I
,0001011,"(239, 174) - 0","[(97, 217), (117, 231), (122, 134)] - 001","[(232, 25), (143, 132), (23, 58)] - 101",I
,0001011,"(232, 25) - 1",[] - ,"[(97, 217), (117, 231), (239, 174), (143, 132), (122, 134), (23, 58)] - 000011",I
,0001011,"(232, 25) - 1","[(97, 217), (117, 231), (239, 174), (143, 132), (122, 134)] - 00001","[(23, 58)] - 1",I
,0001011,"(232, 25) - 1","[(97, 217), (117, 231), (239, 174), (143, 132)] - 0000","[(122, 134), (23, 58)] - 11",I
,0001011,"(232, 25) - 1","[(97, 217), (117, 231), (239, 174)] - 000","[(143, 132), (122, 134), (23, 58)] - 011",I
,0001011,"(143, 132) - 0","[(97, 217), (117, 231), (239, 174), (232, 25)] - 0001","[(122, 134), (23, 58)] - 11",I
,0001011,"(122, 134) - 1","[(97, 217), (117, 231), (239, 174), (232, 25), (143, 132)] - 00010","[(23, 58)] - 1",I
,0001011,"(23, 58) - 1",[] - ,"[(97, 217), (117, 231), (239, 174), (232, 25), (143, 132), (122, 134)] - 000101",I
,0001101,"(97, 217) - 0",[] - ,"[(117, 231), (239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 001101",B
,0001101,"(97, 217) - 0","[(117, 231), (239, 174), (232, 25), (143, 132)] - 0011","[(122, 134), (23, 58)] - 01",B
,0001101,"(117, 231) - 0",[] - ,"[(97, 217), (239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 001101",B
,0001101,"(117, 231) - 0","[(97, 217), (23, 58)] - 01","[(239, 174), (232, 25), (143, 132), (122, 134)] - 0110",B
,0001101,"(117, 231) - 0","[(239, 174), (232, 25)] - 01","[(97, 217), (143, 132), (122, 134), (23, 58)] - 0101",B
,0001101,"(239, 174) - 0",[] - ,"[(97, 217), (117, 231), (232, 25), (143, 132), (122, 134), (23, 58)] - 001101",B
,0001101,"(97, 217) - 0","[(117, 231)] - 0","[(239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 01101",I
,0001101,"(97, 217) - 0","[(23, 58)] - 1","[(117, 231), (239, 174), (232, 25), (143, 132), (122, 134)] - 00110",I
,0001101,"(97, 217) - 0","[(117, 231), (239, 174)] - 00","[(232, 25), (143, 132), (122, 134), (23, 58)] - 1101",I
,0001101,"(97, 217) - 0","[(117, 231), (239, 174), (232, 25)] - 001","[(143, 132), (122, 134), (23, 58)] - 101",I
,0001101,"(117, 231) - 0","[(97, 217)] - 0","[(239, 174), (232, 25), (143, 132), (122, 134), (23, 58)] - 01101",I
,0001101,"(117, 231) - 0","[(239, 174)] - 0","[(97, 217), (232, 25), (143, 132), (122, 134), (23, 58)] - 01101",I
,0001101,"(117, 231) - 0","[(239, 174), (232, 25), (143, 132)] - 011","[(97, 217), (122, 134), (23, 58)] - 001",I
,0001101,"(239, 174) - 0","[(232, 25)] - 1","[(97, 217), (117, 231), (143, 132), (122, 134), (23, 58)] - 00101",I
,0001101,"(239, 174) - 0","[(97, 217), (117, 231)] - 00","[(232, 25), (143, 132), (122, 134), (23, 58)] - 1101",I
,0001101,"(239, 174) - 0","[(97, 217), (117, 231), (143, 132), (122, 134)] - 0010","[(232, 25), (23, 58)] - 11",I
,0001101,"(239, 174) - 0","[(97, 217), (117, 231), (122, 134)] - 000","[(232, 25), (143, 132), (23, 58)] - 111",I
,0001101,"(232, 25) - 1",[] - ,"[(97, 217), (117, 231), (239, 174), (143, 132), (122, 134), (23, 58)] - 000101",I
