0,1,2,3,4,5
,0000111,"(14, 237) - 0",[] - ,"[(242, 229), (211, 159), (179, 126), (138, 119), (95, 141), (171, 18)] - 000111",B
,0000111,"(242, 229) - 0",[] - ,"[(14, 237), (211, 159), (179, 126), (138, 119), (95, 141), (171, 18)] - 000111",B
,0000111,"(242, 229) - 0","[(14, 237), (95, 141)] - 01","[(211, 159), (179, 126), (138, 119), (171, 18)] - 0011",B
,0000111,"(242, 229) - 0","[(211, 159), (171, 18)] - 01","[(14, 237), (179, 126), (138, 119), (95, 141)] - 0011",B
,0000111,"(211, 159) - 0","[(179, 126), (171, 18)] - 01","[(14, 237), (242, 229), (138, 119), (95, 141)] - 0011",B
,0000111,"(14, 237) - 0","[(242, 229)] - 0","[(211, 159), (179, 126), (138, 119), (95, 141), (171, 18)] - 00111",I
,0000111,"(14, 237) - 0","[(242, 229), (211, 159), (179, 126), (138, 119), (95, 141)] - 00011","[(171, 18)] - 1",I
,0000111,"(14, 237) - 0","[(242, 229), (211, 159)] - 00","[(179, 126), (138, 119), (95, 141), (171, 18)] - 0111",I
,0000111,"(14, 237) - 0","[(242, 229), (211, 159), (179, 126), (138, 119)] - 0001","[(95, 141), (171, 18)] - 11",I
,0000111,"(14, 237) - 0","[(242, 229), (211, 159), (179, 126)] - 000","[(138, 119), (95, 141), (171, 18)] - 111",I
,0000111,"(242, 229) - 0","[(14, 237)] - 0","[(211, 159), (179, 126), (138, 119), (95, 141), (171, 18)] - 00111",I
,0000111,"(242, 229) - 0","[(171, 18)] - 1","[(14, 237), (211, 159), (179, 126), (138, 119), (95, 141)] - 00011",I
,0000111,"(242, 229) - 0","[(211, 159), (179, 126), (171, 18)] - 001","[(14, 237), (138, 119), (95, 141)] - 011",I
,0000111,"(211, 159) - 0","[(171, 18)] - 1","[(14, 237), (242, 229), (179, 126), (138, 119), (95, 141)] - 00011",I
,0000111,"(211, 159) - 0","[(14, 237), (242, 229)] - 00","[(179, 126), (138, 119), (95, 141), (171, 18)] - 0111",I
,0000111,"(211, 159) - 0","[(14, 237), (242, 229), (95, 141)] - 001","[(179, 126), (138, 119), (171, 18)] - 011",I
,0000111,"(179, 126) - 0","[(171, 18)] - 1","[(14, 237), (242, 229), (211, 159), (138, 119), (95, 141)] - 00011",I
,0000111,"(179, 126) - 0","[(14, 237), (242, 229), (211, 159), (95, 141)] - 0001","[(138, 119), (171, 18)] - 11",I
,0000111,"(179, 126) - 0","[(14, 237), (242, 229), (211, 159)] - 000","[(138, 119), (95, 141), (171, 18)] - 111",I
,0000111,"(138, 119) - 1","[(14, 237), (242, 229), (211, 159), (179, 126), (95, 141)] - 00001","[(171, 18)] - 1",I
,0000111,"(138, 119) - 1","[(14, 237), (242, 229), (211, 159), (179, 126)] - 0000","[(95, 141), (171, 18)] - 11",I
,0000111,"(95, 141) - 1","[(14, 237), (242, 229), (211, 159), (179, 126), (138, 119)] - 00001","[(171, 18)] - 1",I
,0000111,"(171, 18) - 1",[] - ,"[(14, 237), (242, 229), (211, 159), (179, 126), (138, 119), (95, 141)] - 000011",I
,0001011,"(14, 237) - 0",[] - ,"[(242, 229), (211, 159), (179, 126), (138, 119), (95, 141), (171, 18)] - 001011",B
,0001011,"(242, 229) - 0",[] - ,"[(14, 237), (211, 159), (179, 126), (138, 119), (95, 141), (171, 18)] - 001011",B
