PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(255, 21)",2,"(0, 1)","[(255, 21), (0, 22)]"
"(0, 22)",2,"(0, 2)","[(255, 21), (122, 24)]"
"(122, 24)",2,"(0, 5)","[(255, 21), (224, 33)]"
"(17, 76)",2,"(0, 6)","[(255, 21), (221, 47)]"
"(99, 62)",2,"(0, 7)","[(255, 21), (51, 235)]"
"(224, 33)",2,"(1, 2)","[(0, 22), (122, 24)]"
"(221, 47)",2,"(1, 3)","[(0, 22), (17, 76)]"
"(51, 235)",2,"(1, 7)","[(0, 22), (51, 235)]"
,2,"(3, 7)","[(17, 76), (51, 235)]"
,2,"(6, 7)","[(221, 47), (51, 235)]"
,3,"(0, 1, 2)","[(255, 21), (0, 22), (122, 24)]"
,3,"(0, 2, 5)","[(255, 21), (122, 24), (224, 33)]"
,3,"(0, 5, 6)","[(255, 21), (224, 33), (221, 47)]"
,3,"(0, 6, 7)","[(255, 21), (221, 47), (51, 235)]"
,3,"(1, 2, 3)","[(0, 22), (122, 24), (17, 76)]"
,3,"(1, 3, 4)","[(0, 22), (17, 76), (99, 62)]"
,3,"(1, 3, 7)","[(0, 22), (17, 76), (51, 235)]"
,3,"(3, 4, 7)","[(17, 76), (99, 62), (51, 235)]"
,3,"(3, 6, 7)","[(17, 76), (221, 47), (51, 235)]"
,3,"(4, 6, 7)","[(99, 62), (221, 47), (51, 235)]"
,3,"(5, 6, 7)","[(224, 33), (221, 47), (51, 235)]"
,4,"(0, 1, 2, 3)","[(255, 21), (0, 22), (122, 24), (17, 76)]"
,4,"(0, 1, 2, 5)","[(255, 21), (0, 22), (122, 24), (224, 33)]"
,4,"(0, 2, 5, 6)","[(255, 21), (122, 24), (224, 33), (221, 47)]"
,4,"(0, 5, 6, 7)","[(255, 21), (224, 33), (221, 47), (51, 235)]"
