PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(254, 25)",2,"(0, 1)","[(254, 25), (2, 12)]"
"(2, 12)",2,"(0, 5)","[(254, 25), (201, 108)]"
"(20, 77)",2,"(0, 7)","[(254, 25), (149, 239)]"
"(33, 164)",2,"(1, 2)","[(2, 12), (20, 77)]"
"(93, 138)",2,"(1, 3)","[(2, 12), (33, 164)]"
"(201, 108)",2,"(2, 3)","[(20, 77), (33, 164)]"
"(155, 203)",2,"(3, 7)","[(33, 164), (149, 239)]"
"(149, 239)",2,"(6, 7)","[(155, 203), (149, 239)]"
,3,"(0, 1, 2)","[(254, 25), (2, 12), (20, 77)]"
,3,"(0, 1, 5)","[(254, 25), (2, 12), (201, 108)]"
,3,"(0, 5, 6)","[(254, 25), (201, 108), (155, 203)]"
,3,"(0, 5, 7)","[(254, 25), (201, 108), (149, 239)]"
,3,"(0, 6, 7)","[(254, 25), (155, 203), (149, 239)]"
,3,"(1, 2, 3)","[(2, 12), (20, 77), (33, 164)]"
,3,"(2, 3, 7)","[(20, 77), (33, 164), (149, 239)]"
,3,"(3, 6, 7)","[(33, 164), (155, 203), (149, 239)]"
,3,"(5, 6, 7)","[(201, 108), (155, 203), (149, 239)]"
,4,"(0, 1, 2, 3)","[(254, 25), (2, 12), (20, 77), (33, 164)]"
,4,"(0, 1, 2, 4)","[(254, 25), (2, 12), (20, 77), (93, 138)]"
,4,"(0, 1, 2, 5)","[(254, 25), (2, 12), (20, 77), (201, 108)]"
,4,"(0, 1, 4, 5)","[(254, 25), (2, 12), (93, 138), (201, 108)]"
,4,"(0, 1, 5, 6)","[(254, 25), (2, 12), (201, 108), (155, 203)]"
,4,"(0, 4, 5, 6)","[(254, 25), (93, 138), (201, 108), (155, 203)]"
,4,"(0, 5, 6, 7)","[(254, 25), (201, 108), (155, 203), (149, 239)]"
