PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(243, 222)",2,"(0, 1)","[(243, 222), (244, 218)]"
"(244, 218)",2,"(0, 7)","[(243, 222), (11, 231)]"
"(133, 24)",2,"(1, 2)","[(244, 218), (133, 24)]"
"(110, 83)",2,"(2, 3)","[(133, 24), (110, 83)]"
"(215, 205)",2,"(2, 7)","[(133, 24), (11, 231)]"
"(173, 206)",2,"(3, 7)","[(110, 83), (11, 231)]"
"(78, 199)",2,"(6, 7)","[(78, 199), (11, 231)]"
"(11, 231)",3,"(0, 1, 2)","[(243, 222), (244, 218), (133, 24)]"
,3,"(0, 1, 4)","[(243, 222), (244, 218), (215, 205)]"
,3,"(0, 1, 7)","[(243, 222), (244, 218), (11, 231)]"
,3,"(0, 6, 7)","[(243, 222), (78, 199), (11, 231)]"
,3,"(1, 2, 3)","[(244, 218), (133, 24), (110, 83)]"
,3,"(2, 3, 4)","[(133, 24), (110, 83), (215, 205)]"
,3,"(2, 3, 6)","[(133, 24), (110, 83), (78, 199)]"
,3,"(2, 3, 7)","[(133, 24), (110, 83), (11, 231)]"
,3,"(3, 6, 7)","[(110, 83), (78, 199), (11, 231)]"
,3,"(5, 6, 7)","[(173, 206), (78, 199), (11, 231)]"
,4,"(0, 1, 2, 3)","[(243, 222), (244, 218), (133, 24), (110, 83)]"
,4,"(0, 1, 2, 4)","[(243, 222), (244, 218), (133, 24), (215, 205)]"
,4,"(0, 1, 4, 5)","[(243, 222), (244, 218), (215, 205), (173, 206)]"
,4,"(0, 1, 4, 7)","[(243, 222), (244, 218), (215, 205), (11, 231)]"
,4,"(0, 1, 5, 7)","[(243, 222), (244, 218), (173, 206), (11, 231)]"
,4,"(0, 1, 6, 7)","[(243, 222), (244, 218), (78, 199), (11, 231)]"
,4,"(0, 5, 6, 7)","[(243, 222), (173, 206), (78, 199), (11, 231)]"
