PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(172, 251)",2,"(0, 1)","[(172, 251), (252, 26)]"
"(252, 26)",2,"(0, 3)","[(172, 251), (197, 142)]"
"(230, 46)",2,"(0, 6)","[(172, 251), (151, 174)]"
"(197, 142)",2,"(0, 7)","[(172, 251), (3, 4)]"
"(147, 59)",2,"(1, 2)","[(252, 26), (230, 46)]"
"(131, 21)",2,"(1, 5)","[(252, 26), (131, 21)]"
"(151, 174)",2,"(1, 7)","[(252, 26), (3, 4)]"
"(3, 4)",2,"(5, 7)","[(131, 21), (3, 4)]"
,2,"(6, 7)","[(151, 174), (3, 4)]"
,3,"(0, 1, 2)","[(172, 251), (252, 26), (230, 46)]"
,3,"(0, 1, 3)","[(172, 251), (252, 26), (197, 142)]"
,3,"(0, 3, 6)","[(172, 251), (197, 142), (151, 174)]"
,3,"(0, 6, 7)","[(172, 251), (151, 174), (3, 4)]"
,3,"(1, 2, 3)","[(252, 26), (230, 46), (197, 142)]"
,3,"(1, 2, 5)","[(252, 26), (230, 46), (131, 21)]"
,3,"(1, 5, 7)","[(252, 26), (131, 21), (3, 4)]"
,3,"(4, 5, 7)","[(147, 59), (131, 21), (3, 4)]"
,3,"(5, 6, 7)","[(131, 21), (151, 174), (3, 4)]"
,4,"(0, 1, 2, 3)","[(172, 251), (252, 26), (230, 46), (197, 142)]"
,4,"(0, 1, 3, 6)","[(172, 251), (252, 26), (197, 142), (151, 174)]"
,4,"(0, 2, 3, 6)","[(172, 251), (230, 46), (197, 142), (151, 174)]"
,4,"(0, 3, 4, 6)","[(172, 251), (197, 142), (147, 59), (151, 174)]"
,4,"(0, 3, 6, 7)","[(172, 251), (197, 142), (151, 174), (3, 4)]"
,4,"(0, 4, 6, 7)","[(172, 251), (147, 59), (151, 174), (3, 4)]"
,4,"(0, 5, 6, 7)","[(172, 251), (131, 21), (151, 174), (3, 4)]"
