PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(29, 14)",2,"(0, 1)","[(29, 14), (166, 241)]"
"(166, 241)",2,"(0, 5)","[(29, 14), (133, 43)]"
"(187, 221)",2,"(0, 7)","[(29, 14), (227, 32)]"
"(179, 186)",2,"(1, 2)","[(166, 241), (187, 221)]"
"(168, 168)",2,"(2, 7)","[(187, 221), (227, 32)]"
"(133, 43)",2,"(6, 7)","[(162, 42), (227, 32)]"
"(162, 42)",3,"(0, 1, 2)","[(29, 14), (166, 241), (187, 221)]"
"(227, 32)",3,"(0, 1, 4)","[(29, 14), (166, 241), (168, 168)]"
,3,"(0, 1, 5)","[(29, 14), (166, 241), (133, 43)]"
,3,"(0, 5, 6)","[(29, 14), (133, 43), (162, 42)]"
,3,"(0, 5, 7)","[(29, 14), (133, 43), (227, 32)]"
,3,"(0, 6, 7)","[(29, 14), (162, 42), (227, 32)]"
,3,"(1, 2, 3)","[(166, 241), (187, 221), (179, 186)]"
,3,"(1, 2, 7)","[(166, 241), (187, 221), (227, 32)]"
,3,"(2, 3, 7)","[(187, 221), (179, 186), (227, 32)]"
,3,"(2, 6, 7)","[(187, 221), (162, 42), (227, 32)]"
,3,"(3, 6, 7)","[(179, 186), (162, 42), (227, 32)]"
,3,"(5, 6, 7)","[(133, 43), (162, 42), (227, 32)]"
,4,"(0, 1, 2, 3)","[(29, 14), (166, 241), (187, 221), (179, 186)]"
,4,"(0, 1, 2, 4)","[(29, 14), (166, 241), (187, 221), (168, 168)]"
,4,"(0, 1, 4, 5)","[(29, 14), (166, 241), (168, 168), (133, 43)]"
,4,"(0, 1, 5, 6)","[(29, 14), (166, 241), (133, 43), (162, 42)]"
,4,"(0, 4, 5, 6)","[(29, 14), (168, 168), (133, 43), (162, 42)]"
,4,"(0, 5, 6, 7)","[(29, 14), (133, 43), (162, 42), (227, 32)]"
