PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(244, 228)",2,"(0, 1)","[(244, 228), (25, 28)]"
"(25, 28)",2,"(0, 3)","[(244, 228), (210, 215)]"
"(50, 90)",2,"(0, 7)","[(244, 228), (11, 216)]"
"(210, 215)",2,"(1, 2)","[(25, 28), (50, 90)]"
"(96, 183)",2,"(1, 7)","[(25, 28), (11, 216)]"
"(84, 190)",2,"(5, 7)","[(84, 190), (11, 216)]"
"(111, 199)",2,"(6, 7)","[(111, 199), (11, 216)]"
"(11, 216)",3,"(0, 1, 2)","[(244, 228), (25, 28), (50, 90)]"
,3,"(0, 1, 3)","[(244, 228), (25, 28), (210, 215)]"
,3,"(0, 3, 6)","[(244, 228), (210, 215), (111, 199)]"
,3,"(0, 3, 7)","[(244, 228), (210, 215), (11, 216)]"
,3,"(0, 6, 7)","[(244, 228), (111, 199), (11, 216)]"
,3,"(1, 2, 3)","[(25, 28), (50, 90), (210, 215)]"
,3,"(1, 2, 4)","[(25, 28), (50, 90), (96, 183)]"
,3,"(1, 2, 7)","[(25, 28), (50, 90), (11, 216)]"
,3,"(1, 5, 7)","[(25, 28), (84, 190), (11, 216)]"
,3,"(2, 5, 7)","[(50, 90), (84, 190), (11, 216)]"
,3,"(4, 5, 7)","[(96, 183), (84, 190), (11, 216)]"
,3,"(5, 6, 7)","[(84, 190), (111, 199), (11, 216)]"
,4,"(0, 1, 2, 3)","[(244, 228), (25, 28), (50, 90), (210, 215)]"
,4,"(0, 1, 3, 6)","[(244, 228), (25, 28), (210, 215), (111, 199)]"
,4,"(0, 3, 4, 6)","[(244, 228), (210, 215), (96, 183), (111, 199)]"
,4,"(0, 3, 5, 6)","[(244, 228), (210, 215), (84, 190), (111, 199)]"
,4,"(0, 3, 6, 7)","[(244, 228), (210, 215), (111, 199), (11, 216)]"
,4,"(0, 5, 6, 7)","[(244, 228), (84, 190), (111, 199), (11, 216)]"
