PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(214, 27)",2,"(0, 1)","[(214, 27), (11, 52)]"
"(11, 52)",2,"(0, 5)","[(214, 27), (166, 138)]"
"(27, 230)",2,"(0, 7)","[(214, 27), (246, 214)]"
"(146, 140)",2,"(1, 2)","[(11, 52), (27, 230)]"
"(157, 136)",2,"(2, 7)","[(27, 230), (246, 214)]"
"(166, 138)",2,"(6, 7)","[(171, 152), (246, 214)]"
"(171, 152)",3,"(0, 1, 2)","[(214, 27), (11, 52), (27, 230)]"
"(246, 214)",3,"(0, 1, 3)","[(214, 27), (11, 52), (146, 140)]"
,3,"(0, 1, 4)","[(214, 27), (11, 52), (157, 136)]"
,3,"(0, 1, 5)","[(214, 27), (11, 52), (166, 138)]"
,3,"(0, 4, 5)","[(214, 27), (157, 136), (166, 138)]"
,3,"(0, 5, 7)","[(214, 27), (166, 138), (246, 214)]"
,3,"(0, 6, 7)","[(214, 27), (171, 152), (246, 214)]"
,3,"(1, 2, 3)","[(11, 52), (27, 230), (146, 140)]"
,3,"(1, 2, 7)","[(11, 52), (27, 230), (246, 214)]"
,3,"(2, 3, 7)","[(27, 230), (146, 140), (246, 214)]"
,3,"(2, 6, 7)","[(27, 230), (171, 152), (246, 214)]"
,3,"(5, 6, 7)","[(166, 138), (171, 152), (246, 214)]"
,4,"(0, 1, 2, 3)","[(214, 27), (11, 52), (27, 230), (146, 140)]"
,4,"(0, 1, 3, 4)","[(214, 27), (11, 52), (146, 140), (157, 136)]"
,4,"(0, 1, 4, 5)","[(214, 27), (11, 52), (157, 136), (166, 138)]"
,4,"(0, 4, 5, 6)","[(214, 27), (157, 136), (166, 138), (171, 152)]"
,4,"(0, 4, 5, 7)","[(214, 27), (157, 136), (166, 138), (246, 214)]"
,4,"(0, 5, 6, 7)","[(214, 27), (166, 138), (171, 152), (246, 214)]"
