PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(249, 57)",2,"(0, 1)","[(249, 57), (7, 65)]"
"(7, 65)",2,"(0, 3)","[(249, 57), (172, 82)]"
"(46, 91)",2,"(0, 6)","[(249, 57), (188, 122)]"
"(172, 82)",2,"(0, 7)","[(249, 57), (125, 199)]"
"(139, 109)",2,"(1, 2)","[(7, 65), (46, 91)]"
"(83, 148)",2,"(1, 5)","[(7, 65), (83, 148)]"
"(188, 122)",2,"(1, 7)","[(7, 65), (125, 199)]"
"(125, 199)",2,"(5, 7)","[(83, 148), (125, 199)]"
,2,"(6, 7)","[(188, 122), (125, 199)]"
,3,"(0, 1, 2)","[(249, 57), (7, 65), (46, 91)]"
,3,"(0, 1, 3)","[(249, 57), (7, 65), (172, 82)]"
,3,"(0, 3, 6)","[(249, 57), (172, 82), (188, 122)]"
,3,"(0, 6, 7)","[(249, 57), (188, 122), (125, 199)]"
,3,"(1, 2, 3)","[(7, 65), (46, 91), (172, 82)]"
,3,"(1, 2, 5)","[(7, 65), (46, 91), (83, 148)]"
,3,"(1, 5, 7)","[(7, 65), (83, 148), (125, 199)]"
,3,"(2, 5, 7)","[(46, 91), (83, 148), (125, 199)]"
,3,"(5, 6, 7)","[(83, 148), (188, 122), (125, 199)]"
,4,"(0, 1, 2, 3)","[(249, 57), (7, 65), (46, 91), (172, 82)]"
,4,"(0, 1, 3, 4)","[(249, 57), (7, 65), (172, 82), (139, 109)]"
,4,"(0, 1, 3, 6)","[(249, 57), (7, 65), (172, 82), (188, 122)]"
,4,"(0, 3, 4, 6)","[(249, 57), (172, 82), (139, 109), (188, 122)]"
,4,"(0, 3, 6, 7)","[(249, 57), (172, 82), (188, 122), (125, 199)]"
,4,"(0, 4, 6, 7)","[(249, 57), (139, 109), (188, 122), (125, 199)]"
,4,"(0, 5, 6, 7)","[(249, 57), (83, 148), (188, 122), (125, 199)]"
