PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(247, 231)",2,"(0, 1)","[(247, 231), (143, 25)]"
"(143, 25)",2,"(0, 5)","[(247, 231), (156, 209)]"
"(8, 126)",2,"(0, 6)","[(247, 231), (149, 213)]"
"(85, 166)",2,"(0, 7)","[(247, 231), (11, 199)]"
"(86, 178)",2,"(1, 2)","[(143, 25), (8, 126)]"
"(156, 209)",2,"(2, 7)","[(8, 126), (11, 199)]"
"(149, 213)",2,"(4, 7)","[(86, 178), (11, 199)]"
"(11, 199)",2,"(6, 7)","[(149, 213), (11, 199)]"
,3,"(0, 1, 2)","[(247, 231), (143, 25), (8, 126)]"
,3,"(0, 1, 3)","[(247, 231), (143, 25), (85, 166)]"
,3,"(0, 1, 5)","[(247, 231), (143, 25), (156, 209)]"
,3,"(0, 5, 6)","[(247, 231), (156, 209), (149, 213)]"
,3,"(0, 6, 7)","[(247, 231), (149, 213), (11, 199)]"
,3,"(1, 2, 3)","[(143, 25), (8, 126), (85, 166)]"
,3,"(1, 2, 7)","[(143, 25), (8, 126), (11, 199)]"
,3,"(2, 3, 7)","[(8, 126), (85, 166), (11, 199)]"
,3,"(2, 4, 7)","[(8, 126), (86, 178), (11, 199)]"
,3,"(4, 6, 7)","[(86, 178), (149, 213), (11, 199)]"
,3,"(5, 6, 7)","[(156, 209), (149, 213), (11, 199)]"
,4,"(0, 1, 2, 3)","[(247, 231), (143, 25), (8, 126), (85, 166)]"
,4,"(0, 1, 3, 5)","[(247, 231), (143, 25), (85, 166), (156, 209)]"
,4,"(0, 1, 5, 6)","[(247, 231), (143, 25), (156, 209), (149, 213)]"
,4,"(0, 4, 5, 6)","[(247, 231), (86, 178), (156, 209), (149, 213)]"
,4,"(0, 5, 6, 7)","[(247, 231), (156, 209), (149, 213), (11, 199)]"
