PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(3, 24)",2,"(0, 1)","[(3, 24), (176, 231)]"
"(176, 231)",2,"(0, 5)","[(3, 24), (32, 42)]"
"(162, 204)",2,"(0, 7)","[(3, 24), (253, 70)]"
"(166, 163)",2,"(1, 2)","[(176, 231), (162, 204)]"
"(71, 74)",2,"(1, 7)","[(176, 231), (253, 70)]"
"(32, 42)",2,"(3, 7)","[(166, 163), (253, 70)]"
"(60, 52)",2,"(6, 7)","[(60, 52), (253, 70)]"
"(253, 70)",3,"(0, 1, 2)","[(3, 24), (176, 231), (162, 204)]"
,3,"(0, 1, 5)","[(3, 24), (176, 231), (32, 42)]"
,3,"(0, 4, 5)","[(3, 24), (71, 74), (32, 42)]"
,3,"(0, 5, 6)","[(3, 24), (32, 42), (60, 52)]"
,3,"(0, 5, 7)","[(3, 24), (32, 42), (253, 70)]"
,3,"(0, 6, 7)","[(3, 24), (60, 52), (253, 70)]"
,3,"(1, 2, 3)","[(176, 231), (162, 204), (166, 163)]"
,3,"(1, 2, 7)","[(176, 231), (162, 204), (253, 70)]"
,3,"(1, 3, 7)","[(176, 231), (166, 163), (253, 70)]"
,3,"(2, 3, 7)","[(162, 204), (166, 163), (253, 70)]"
,3,"(3, 6, 7)","[(166, 163), (60, 52), (253, 70)]"
,3,"(4, 6, 7)","[(71, 74), (60, 52), (253, 70)]"
,3,"(5, 6, 7)","[(32, 42), (60, 52), (253, 70)]"
,4,"(0, 1, 2, 3)","[(3, 24), (176, 231), (162, 204), (166, 163)]"
,4,"(0, 1, 2, 5)","[(3, 24), (176, 231), (162, 204), (32, 42)]"
,4,"(0, 1, 4, 5)","[(3, 24), (176, 231), (71, 74), (32, 42)]"
,4,"(0, 4, 5, 6)","[(3, 24), (71, 74), (32, 42), (60, 52)]"
,4,"(0, 5, 6, 7)","[(3, 24), (32, 42), (60, 52), (253, 70)]"
