PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(12, 44)",2,"(0, 1)","[(12, 44), (51, 212)]"
"(51, 212)",2,"(0, 5)","[(12, 44), (96, 105)]"
"(109, 174)",2,"(0, 7)","[(12, 44), (249, 120)]"
"(110, 156)",2,"(1, 2)","[(51, 212), (109, 174)]"
"(97, 129)",2,"(1, 7)","[(51, 212), (249, 120)]"
"(96, 105)",2,"(2, 7)","[(109, 174), (249, 120)]"
"(157, 132)",2,"(6, 7)","[(157, 132), (249, 120)]"
"(249, 120)",3,"(0, 1, 2)","[(12, 44), (51, 212), (109, 174)]"
,3,"(0, 1, 4)","[(12, 44), (51, 212), (97, 129)]"
,3,"(0, 1, 5)","[(12, 44), (51, 212), (96, 105)]"
,3,"(0, 4, 5)","[(12, 44), (97, 129), (96, 105)]"
,3,"(0, 5, 7)","[(12, 44), (96, 105), (249, 120)]"
,3,"(0, 6, 7)","[(12, 44), (157, 132), (249, 120)]"
,3,"(1, 2, 3)","[(51, 212), (109, 174), (110, 156)]"
,3,"(1, 2, 7)","[(51, 212), (109, 174), (249, 120)]"
,3,"(2, 6, 7)","[(109, 174), (157, 132), (249, 120)]"
,3,"(3, 6, 7)","[(110, 156), (157, 132), (249, 120)]"
,3,"(5, 6, 7)","[(96, 105), (157, 132), (249, 120)]"
,4,"(0, 1, 2, 3)","[(12, 44), (51, 212), (109, 174), (110, 156)]"
,4,"(0, 1, 2, 4)","[(12, 44), (51, 212), (109, 174), (97, 129)]"
,4,"(0, 1, 4, 5)","[(12, 44), (51, 212), (97, 129), (96, 105)]"
,4,"(0, 3, 4, 5)","[(12, 44), (110, 156), (97, 129), (96, 105)]"
,4,"(0, 4, 5, 6)","[(12, 44), (97, 129), (96, 105), (157, 132)]"
,4,"(0, 4, 5, 7)","[(12, 44), (97, 129), (96, 105), (249, 120)]"
,4,"(0, 5, 6, 7)","[(12, 44), (96, 105), (157, 132), (249, 120)]"
