PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(67, 214)",2,"(0, 1)","[(67, 214), (248, 55)]"
"(248, 55)",2,"(0, 6)","[(67, 214), (56, 163)]"
"(196, 64)",2,"(0, 7)","[(67, 214), (8, 42)]"
"(169, 79)",2,"(1, 2)","[(248, 55), (196, 64)]"
"(62, 118)",2,"(1, 7)","[(248, 55), (8, 42)]"
"(59, 158)",2,"(2, 7)","[(196, 64), (8, 42)]"
"(56, 163)",2,"(4, 7)","[(62, 118), (8, 42)]"
"(8, 42)",2,"(6, 7)","[(56, 163), (8, 42)]"
,3,"(0, 1, 2)","[(67, 214), (248, 55), (196, 64)]"
,3,"(0, 1, 6)","[(67, 214), (248, 55), (56, 163)]"
,3,"(0, 5, 6)","[(67, 214), (59, 158), (56, 163)]"
,3,"(0, 6, 7)","[(67, 214), (56, 163), (8, 42)]"
,3,"(1, 2, 3)","[(248, 55), (196, 64), (169, 79)]"
,3,"(1, 2, 7)","[(248, 55), (196, 64), (8, 42)]"
,3,"(2, 3, 7)","[(196, 64), (169, 79), (8, 42)]"
,3,"(2, 4, 7)","[(196, 64), (62, 118), (8, 42)]"
,3,"(3, 4, 7)","[(169, 79), (62, 118), (8, 42)]"
,3,"(4, 5, 7)","[(62, 118), (59, 158), (8, 42)]"
,3,"(4, 6, 7)","[(62, 118), (56, 163), (8, 42)]"
,3,"(5, 6, 7)","[(59, 158), (56, 163), (8, 42)]"
,4,"(0, 1, 2, 3)","[(67, 214), (248, 55), (196, 64), (169, 79)]"
,4,"(0, 1, 2, 6)","[(67, 214), (248, 55), (196, 64), (56, 163)]"
,4,"(0, 1, 5, 6)","[(67, 214), (248, 55), (59, 158), (56, 163)]"
,4,"(0, 4, 5, 6)","[(67, 214), (62, 118), (59, 158), (56, 163)]"
,4,"(0, 5, 6, 7)","[(67, 214), (59, 158), (56, 163), (8, 42)]"
