PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(179, 216)",2,"(0, 1)","[(179, 216), (213, 187)]"
"(213, 187)",2,"(0, 6)","[(179, 216), (93, 186)]"
"(240, 40)",2,"(0, 7)","[(179, 216), (21, 174)]"
"(160, 161)",2,"(1, 2)","[(213, 187), (240, 40)]"
"(162, 175)",2,"(2, 5)","[(240, 40), (145, 148)]"
"(145, 148)",2,"(2, 7)","[(240, 40), (21, 174)]"
"(93, 186)",2,"(6, 7)","[(93, 186), (21, 174)]"
"(21, 174)",3,"(0, 1, 2)","[(179, 216), (213, 187), (240, 40)]"
,3,"(0, 1, 4)","[(179, 216), (213, 187), (162, 175)]"
,3,"(0, 1, 6)","[(179, 216), (213, 187), (93, 186)]"
,3,"(0, 6, 7)","[(179, 216), (93, 186), (21, 174)]"
,3,"(1, 2, 3)","[(213, 187), (240, 40), (160, 161)]"
,3,"(1, 2, 5)","[(213, 187), (240, 40), (145, 148)]"
,3,"(2, 3, 5)","[(240, 40), (160, 161), (145, 148)]"
,3,"(2, 5, 7)","[(240, 40), (145, 148), (21, 174)]"
,3,"(2, 6, 7)","[(240, 40), (93, 186), (21, 174)]"
,3,"(5, 6, 7)","[(145, 148), (93, 186), (21, 174)]"
,4,"(0, 1, 2, 3)","[(179, 216), (213, 187), (240, 40), (160, 161)]"
,4,"(0, 1, 2, 4)","[(179, 216), (213, 187), (240, 40), (162, 175)]"
,4,"(0, 1, 3, 4)","[(179, 216), (213, 187), (160, 161), (162, 175)]"
,4,"(0, 1, 4, 6)","[(179, 216), (213, 187), (162, 175), (93, 186)]"
,4,"(0, 1, 6, 7)","[(179, 216), (213, 187), (93, 186), (21, 174)]"
,4,"(0, 4, 6, 7)","[(179, 216), (162, 175), (93, 186), (21, 174)]"
,4,"(0, 5, 6, 7)","[(179, 216), (145, 148), (93, 186), (21, 174)]"
