PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(85, 250)",2,"(0, 1)","[(85, 250), (251, 30)]"
"(251, 30)",2,"(0, 4)","[(85, 250), (90, 204)]"
"(230, 34)",2,"(0, 5)","[(85, 250), (77, 205)]"
"(127, 36)",2,"(0, 7)","[(85, 250), (4, 5)]"
"(90, 204)",2,"(1, 2)","[(251, 30), (230, 34)]"
"(77, 205)",2,"(1, 7)","[(251, 30), (4, 5)]"
"(45, 108)",2,"(3, 7)","[(127, 36), (4, 5)]"
"(4, 5)",2,"(6, 7)","[(45, 108), (4, 5)]"
,3,"(0, 1, 2)","[(85, 250), (251, 30), (230, 34)]"
,3,"(0, 1, 4)","[(85, 250), (251, 30), (90, 204)]"
,3,"(0, 4, 5)","[(85, 250), (90, 204), (77, 205)]"
,3,"(0, 5, 6)","[(85, 250), (77, 205), (45, 108)]"
,3,"(0, 5, 7)","[(85, 250), (77, 205), (4, 5)]"
,3,"(0, 6, 7)","[(85, 250), (45, 108), (4, 5)]"
,3,"(1, 2, 3)","[(251, 30), (230, 34), (127, 36)]"
,3,"(1, 2, 7)","[(251, 30), (230, 34), (4, 5)]"
,3,"(1, 3, 7)","[(251, 30), (127, 36), (4, 5)]"
,3,"(2, 3, 7)","[(230, 34), (127, 36), (4, 5)]"
,3,"(3, 6, 7)","[(127, 36), (45, 108), (4, 5)]"
,3,"(5, 6, 7)","[(77, 205), (45, 108), (4, 5)]"
,4,"(0, 1, 2, 3)","[(85, 250), (251, 30), (230, 34), (127, 36)]"
,4,"(0, 1, 2, 4)","[(85, 250), (251, 30), (230, 34), (90, 204)]"
,4,"(0, 1, 4, 5)","[(85, 250), (251, 30), (90, 204), (77, 205)]"
,4,"(0, 4, 5, 6)","[(85, 250), (90, 204), (77, 205), (45, 108)]"
,4,"(0, 5, 6, 7)","[(85, 250), (77, 205), (45, 108), (4, 5)]"
