PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(254, 39)",2,"(0, 1)","[(254, 39), (0, 37)]"
"(0, 37)",2,"(0, 3)","[(254, 39), (130, 63)]"
"(21, 77)",2,"(0, 6)","[(254, 39), (152, 134)]"
"(130, 63)",2,"(0, 7)","[(254, 39), (74, 216)]"
"(115, 115)",2,"(1, 2)","[(0, 37), (21, 77)]"
"(116, 124)",2,"(1, 7)","[(0, 37), (74, 216)]"
"(152, 134)",2,"(2, 7)","[(21, 77), (74, 216)]"
"(74, 216)",2,"(5, 7)","[(116, 124), (74, 216)]"
,2,"(6, 7)","[(152, 134), (74, 216)]"
,3,"(0, 1, 2)","[(254, 39), (0, 37), (21, 77)]"
,3,"(0, 1, 3)","[(254, 39), (0, 37), (130, 63)]"
,3,"(0, 3, 6)","[(254, 39), (130, 63), (152, 134)]"
,3,"(0, 5, 6)","[(254, 39), (116, 124), (152, 134)]"
,3,"(0, 6, 7)","[(254, 39), (152, 134), (74, 216)]"
,3,"(1, 2, 3)","[(0, 37), (21, 77), (130, 63)]"
,3,"(1, 2, 7)","[(0, 37), (21, 77), (74, 216)]"
,3,"(2, 5, 7)","[(21, 77), (116, 124), (74, 216)]"
,3,"(5, 6, 7)","[(116, 124), (152, 134), (74, 216)]"
,4,"(0, 1, 2, 3)","[(254, 39), (0, 37), (21, 77), (130, 63)]"
,4,"(0, 1, 3, 4)","[(254, 39), (0, 37), (130, 63), (115, 115)]"
,4,"(0, 1, 3, 6)","[(254, 39), (0, 37), (130, 63), (152, 134)]"
,4,"(0, 3, 4, 6)","[(254, 39), (130, 63), (115, 115), (152, 134)]"
,4,"(0, 3, 5, 6)","[(254, 39), (130, 63), (116, 124), (152, 134)]"
,4,"(0, 4, 5, 6)","[(254, 39), (115, 115), (116, 124), (152, 134)]"
,4,"(0, 5, 6, 7)","[(254, 39), (116, 124), (152, 134), (74, 216)]"
