PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(61, 92)",2,"(0, 1)","[(61, 92), (46, 106)]"
"(46, 106)",2,"(0, 7)","[(61, 92), (210, 56)]"
"(161, 199)",2,"(1, 2)","[(46, 106), (161, 199)]"
"(158, 182)",2,"(2, 3)","[(161, 199), (158, 182)]"
"(147, 164)",2,"(2, 6)","[(161, 199), (194, 181)]"
"(126, 141)",2,"(6, 7)","[(194, 181), (210, 56)]"
"(194, 181)",3,"(0, 1, 2)","[(61, 92), (46, 106), (161, 199)]"
"(210, 56)",3,"(0, 1, 5)","[(61, 92), (46, 106), (126, 141)]"
,3,"(0, 1, 7)","[(61, 92), (46, 106), (210, 56)]"
,3,"(0, 5, 7)","[(61, 92), (126, 141), (210, 56)]"
,3,"(0, 6, 7)","[(61, 92), (194, 181), (210, 56)]"
,3,"(1, 2, 3)","[(46, 106), (161, 199), (158, 182)]"
,3,"(2, 3, 4)","[(161, 199), (158, 182), (147, 164)]"
,3,"(2, 3, 6)","[(161, 199), (158, 182), (194, 181)]"
,3,"(2, 6, 7)","[(161, 199), (194, 181), (210, 56)]"
,3,"(3, 6, 7)","[(158, 182), (194, 181), (210, 56)]"
,3,"(4, 6, 7)","[(147, 164), (194, 181), (210, 56)]"
,3,"(5, 6, 7)","[(126, 141), (194, 181), (210, 56)]"
,4,"(0, 1, 2, 3)","[(61, 92), (46, 106), (161, 199), (158, 182)]"
,4,"(0, 1, 2, 5)","[(61, 92), (46, 106), (161, 199), (126, 141)]"
,4,"(0, 1, 4, 5)","[(61, 92), (46, 106), (147, 164), (126, 141)]"
,4,"(0, 1, 5, 7)","[(61, 92), (46, 106), (126, 141), (210, 56)]"
,4,"(0, 5, 6, 7)","[(61, 92), (126, 141), (194, 181), (210, 56)]"
