PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(70, 227)",2,"(0, 1)","[(70, 227), (119, 235)]"
"(119, 235)",2,"(0, 6)","[(70, 227), (68, 167)]"
"(230, 147)",2,"(0, 7)","[(70, 227), (26, 20)]"
"(120, 196)",2,"(1, 2)","[(119, 235), (230, 147)]"
"(106, 185)",2,"(2, 3)","[(230, 147), (120, 196)]"
"(98, 174)",2,"(2, 7)","[(230, 147), (26, 20)]"
"(68, 167)",2,"(6, 7)","[(68, 167), (26, 20)]"
"(26, 20)",3,"(0, 1, 2)","[(70, 227), (119, 235), (230, 147)]"
,3,"(0, 1, 3)","[(70, 227), (119, 235), (120, 196)]"
,3,"(0, 1, 6)","[(70, 227), (119, 235), (68, 167)]"
,3,"(0, 6, 7)","[(70, 227), (68, 167), (26, 20)]"
,3,"(1, 2, 3)","[(119, 235), (230, 147), (120, 196)]"
,3,"(2, 3, 4)","[(230, 147), (120, 196), (106, 185)]"
,3,"(2, 3, 7)","[(230, 147), (120, 196), (26, 20)]"
,3,"(2, 5, 7)","[(230, 147), (98, 174), (26, 20)]"
,3,"(2, 6, 7)","[(230, 147), (68, 167), (26, 20)]"
,3,"(5, 6, 7)","[(98, 174), (68, 167), (26, 20)]"
,4,"(0, 1, 2, 3)","[(70, 227), (119, 235), (230, 147), (120, 196)]"
,4,"(0, 1, 3, 4)","[(70, 227), (119, 235), (120, 196), (106, 185)]"
,4,"(0, 1, 3, 6)","[(70, 227), (119, 235), (120, 196), (68, 167)]"
,4,"(0, 1, 4, 6)","[(70, 227), (119, 235), (106, 185), (68, 167)]"
,4,"(0, 1, 5, 6)","[(70, 227), (119, 235), (98, 174), (68, 167)]"
,4,"(0, 1, 6, 7)","[(70, 227), (119, 235), (68, 167), (26, 20)]"
,4,"(0, 5, 6, 7)","[(70, 227), (98, 174), (68, 167), (26, 20)]"
