PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(23, 42)",2,"(0, 1)","[(23, 42), (119, 199)]"
"(119, 199)",2,"(0, 7)","[(23, 42), (127, 15)]"
"(186, 250)",2,"(1, 2)","[(119, 199), (186, 250)]"
"(152, 173)",2,"(2, 3)","[(186, 250), (152, 173)]"
"(174, 77)",2,"(2, 6)","[(186, 250), (226, 8)]"
"(155, 60)",2,"(4, 6)","[(174, 77), (226, 8)]"
"(226, 8)",2,"(6, 7)","[(226, 8), (127, 15)]"
"(127, 15)",3,"(0, 1, 2)","[(23, 42), (119, 199), (186, 250)]"
,3,"(0, 1, 3)","[(23, 42), (119, 199), (152, 173)]"
,3,"(0, 1, 7)","[(23, 42), (119, 199), (127, 15)]"
,3,"(0, 5, 7)","[(23, 42), (155, 60), (127, 15)]"
,3,"(0, 6, 7)","[(23, 42), (226, 8), (127, 15)]"
,3,"(1, 2, 3)","[(119, 199), (186, 250), (152, 173)]"
,3,"(2, 3, 6)","[(186, 250), (152, 173), (226, 8)]"
,3,"(2, 4, 6)","[(186, 250), (174, 77), (226, 8)]"
,3,"(4, 5, 6)","[(174, 77), (155, 60), (226, 8)]"
,3,"(4, 6, 7)","[(174, 77), (226, 8), (127, 15)]"
,3,"(5, 6, 7)","[(155, 60), (226, 8), (127, 15)]"
,4,"(0, 1, 2, 3)","[(23, 42), (119, 199), (186, 250), (152, 173)]"
,4,"(0, 1, 3, 7)","[(23, 42), (119, 199), (152, 173), (127, 15)]"
,4,"(0, 1, 5, 7)","[(23, 42), (119, 199), (155, 60), (127, 15)]"
,4,"(0, 4, 5, 7)","[(23, 42), (174, 77), (155, 60), (127, 15)]"
,4,"(0, 5, 6, 7)","[(23, 42), (155, 60), (226, 8), (127, 15)]"
