PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(240, 47)",2,"(0, 1)","[(240, 47), (15, 36)]"
"(15, 36)",2,"(0, 6)","[(240, 47), (209, 127)]"
"(90, 176)",2,"(0, 7)","[(240, 47), (190, 224)]"
"(138, 149)",2,"(1, 2)","[(15, 36), (90, 176)]"
"(175, 161)",2,"(2, 7)","[(90, 176), (190, 224)]"
"(193, 146)",2,"(4, 7)","[(175, 161), (190, 224)]"
"(209, 127)",2,"(5, 7)","[(193, 146), (190, 224)]"
"(190, 224)",2,"(6, 7)","[(209, 127), (190, 224)]"
,3,"(0, 1, 2)","[(240, 47), (15, 36), (90, 176)]"
,3,"(0, 1, 3)","[(240, 47), (15, 36), (138, 149)]"
,3,"(0, 1, 6)","[(240, 47), (15, 36), (209, 127)]"
,3,"(0, 5, 6)","[(240, 47), (193, 146), (209, 127)]"
,3,"(0, 6, 7)","[(240, 47), (209, 127), (190, 224)]"
,3,"(1, 2, 3)","[(15, 36), (90, 176), (138, 149)]"
,3,"(1, 2, 7)","[(15, 36), (90, 176), (190, 224)]"
,3,"(2, 3, 7)","[(90, 176), (138, 149), (190, 224)]"
,3,"(2, 4, 7)","[(90, 176), (175, 161), (190, 224)]"
,3,"(4, 5, 7)","[(175, 161), (193, 146), (190, 224)]"
,3,"(5, 6, 7)","[(193, 146), (209, 127), (190, 224)]"
,4,"(0, 1, 2, 3)","[(240, 47), (15, 36), (90, 176), (138, 149)]"
,4,"(0, 1, 3, 6)","[(240, 47), (15, 36), (138, 149), (209, 127)]"
,4,"(0, 1, 5, 6)","[(240, 47), (15, 36), (193, 146), (209, 127)]"
,4,"(0, 4, 5, 6)","[(240, 47), (175, 161), (193, 146), (209, 127)]"
,4,"(0, 5, 6, 7)","[(240, 47), (193, 146), (209, 127), (190, 224)]"
