PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(159, 243)",2,"(0, 1)","[(159, 243), (245, 70)]"
"(245, 70)",2,"(0, 4)","[(159, 243), (98, 169)]"
"(255, 24)",2,"(0, 7)","[(159, 243), (0, 136)]"
"(227, 61)",2,"(1, 2)","[(245, 70), (255, 24)]"
"(98, 169)",2,"(2, 3)","[(255, 24), (227, 61)]"
"(66, 141)",2,"(2, 7)","[(255, 24), (0, 136)]"
"(29, 142)",2,"(6, 7)","[(29, 142), (0, 136)]"
"(0, 136)",3,"(0, 1, 2)","[(159, 243), (245, 70), (255, 24)]"
,3,"(0, 1, 3)","[(159, 243), (245, 70), (227, 61)]"
,3,"(0, 1, 4)","[(159, 243), (245, 70), (98, 169)]"
,3,"(0, 4, 5)","[(159, 243), (98, 169), (66, 141)]"
,3,"(0, 4, 6)","[(159, 243), (98, 169), (29, 142)]"
,3,"(0, 4, 7)","[(159, 243), (98, 169), (0, 136)]"
,3,"(0, 6, 7)","[(159, 243), (29, 142), (0, 136)]"
,3,"(1, 2, 3)","[(245, 70), (255, 24), (227, 61)]"
,3,"(2, 3, 7)","[(255, 24), (227, 61), (0, 136)]"
,3,"(2, 6, 7)","[(255, 24), (29, 142), (0, 136)]"
,3,"(5, 6, 7)","[(66, 141), (29, 142), (0, 136)]"
,4,"(0, 1, 2, 3)","[(159, 243), (245, 70), (255, 24), (227, 61)]"
,4,"(0, 1, 3, 4)","[(159, 243), (245, 70), (227, 61), (98, 169)]"
,4,"(0, 1, 4, 5)","[(159, 243), (245, 70), (98, 169), (66, 141)]"
,4,"(0, 4, 5, 6)","[(159, 243), (98, 169), (66, 141), (29, 142)]"
,4,"(0, 4, 6, 7)","[(159, 243), (98, 169), (29, 142), (0, 136)]"
,4,"(0, 5, 6, 7)","[(159, 243), (66, 141), (29, 142), (0, 136)]"
