PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(56, 18)",2,"(0, 1)","[(56, 18), (49, 238)]"
"(49, 238)",2,"(0, 3)","[(56, 18), (65, 58)]"
"(78, 211)",2,"(0, 6)","[(56, 18), (77, 50)]"
"(65, 58)",2,"(0, 7)","[(56, 18), (207, 108)]"
"(93, 150)",2,"(1, 2)","[(49, 238), (78, 211)]"
"(116, 165)",2,"(1, 7)","[(49, 238), (207, 108)]"
"(77, 50)",2,"(2, 7)","[(78, 211), (207, 108)]"
"(207, 108)",2,"(5, 7)","[(116, 165), (207, 108)]"
,2,"(6, 7)","[(77, 50), (207, 108)]"
,3,"(0, 1, 2)","[(56, 18), (49, 238), (78, 211)]"
,3,"(0, 1, 3)","[(56, 18), (49, 238), (65, 58)]"
,3,"(0, 3, 6)","[(56, 18), (65, 58), (77, 50)]"
,3,"(0, 6, 7)","[(56, 18), (77, 50), (207, 108)]"
,3,"(1, 2, 3)","[(49, 238), (78, 211), (65, 58)]"
,3,"(1, 2, 4)","[(49, 238), (78, 211), (93, 150)]"
,3,"(1, 2, 5)","[(49, 238), (78, 211), (116, 165)]"
,3,"(1, 2, 7)","[(49, 238), (78, 211), (207, 108)]"
,3,"(2, 5, 7)","[(78, 211), (116, 165), (207, 108)]"
,3,"(4, 5, 7)","[(93, 150), (116, 165), (207, 108)]"
,3,"(5, 6, 7)","[(116, 165), (77, 50), (207, 108)]"
,4,"(0, 1, 2, 3)","[(56, 18), (49, 238), (78, 211), (65, 58)]"
,4,"(0, 1, 3, 6)","[(56, 18), (49, 238), (65, 58), (77, 50)]"
,4,"(0, 3, 4, 6)","[(56, 18), (65, 58), (93, 150), (77, 50)]"
,4,"(0, 3, 6, 7)","[(56, 18), (65, 58), (77, 50), (207, 108)]"
,4,"(0, 5, 6, 7)","[(56, 18), (116, 165), (77, 50), (207, 108)]"
