PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(1, 2)",2,"(0, 1)","[(1, 2), (44, 254)]"
"(44, 254)",2,"(0, 4)","[(1, 2), (80, 49)]"
"(65, 216)",2,"(0, 7)","[(1, 2), (255, 46)]"
"(63, 178)",2,"(1, 2)","[(44, 254), (65, 216)]"
"(80, 49)",2,"(1, 7)","[(44, 254), (255, 46)]"
"(108, 58)",2,"(6, 7)","[(219, 60), (255, 46)]"
"(219, 60)",3,"(0, 1, 2)","[(1, 2), (44, 254), (65, 216)]"
"(255, 46)",3,"(0, 1, 3)","[(1, 2), (44, 254), (63, 178)]"
,3,"(0, 1, 4)","[(1, 2), (44, 254), (80, 49)]"
,3,"(0, 3, 4)","[(1, 2), (63, 178), (80, 49)]"
,3,"(0, 4, 5)","[(1, 2), (80, 49), (108, 58)]"
,3,"(0, 4, 7)","[(1, 2), (80, 49), (255, 46)]"
,3,"(0, 6, 7)","[(1, 2), (219, 60), (255, 46)]"
,3,"(1, 2, 3)","[(44, 254), (65, 216), (63, 178)]"
,3,"(1, 2, 7)","[(44, 254), (65, 216), (255, 46)]"
,3,"(1, 6, 7)","[(44, 254), (219, 60), (255, 46)]"
,3,"(2, 6, 7)","[(65, 216), (219, 60), (255, 46)]"
,3,"(5, 6, 7)","[(108, 58), (219, 60), (255, 46)]"
,4,"(0, 1, 2, 3)","[(1, 2), (44, 254), (65, 216), (63, 178)]"
,4,"(0, 1, 3, 4)","[(1, 2), (44, 254), (63, 178), (80, 49)]"
,4,"(0, 3, 4, 5)","[(1, 2), (63, 178), (80, 49), (108, 58)]"
,4,"(0, 4, 5, 6)","[(1, 2), (80, 49), (108, 58), (219, 60)]"
,4,"(0, 4, 5, 7)","[(1, 2), (80, 49), (108, 58), (255, 46)]"
,4,"(0, 4, 6, 7)","[(1, 2), (80, 49), (219, 60), (255, 46)]"
,4,"(0, 5, 6, 7)","[(1, 2), (108, 58), (219, 60), (255, 46)]"
