PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(155, 215)",2,"(0, 1)","[(155, 215), (252, 240)]"
"(252, 240)",2,"(0, 5)","[(155, 215), (147, 182)]"
"(187, 184)",2,"(0, 6)","[(155, 215), (79, 108)]"
"(169, 174)",2,"(0, 7)","[(155, 215), (13, 24)]"
"(162, 179)",2,"(1, 2)","[(252, 240), (187, 184)]"
"(147, 182)",2,"(1, 7)","[(252, 240), (13, 24)]"
"(79, 108)",2,"(2, 7)","[(187, 184), (13, 24)]"
"(13, 24)",2,"(6, 7)","[(79, 108), (13, 24)]"
,3,"(0, 1, 2)","[(155, 215), (252, 240), (187, 184)]"
,3,"(0, 1, 5)","[(155, 215), (252, 240), (147, 182)]"
,3,"(0, 4, 5)","[(155, 215), (162, 179), (147, 182)]"
,3,"(0, 5, 6)","[(155, 215), (147, 182), (79, 108)]"
,3,"(0, 6, 7)","[(155, 215), (79, 108), (13, 24)]"
,3,"(1, 2, 3)","[(252, 240), (187, 184), (169, 174)]"
,3,"(1, 2, 7)","[(252, 240), (187, 184), (13, 24)]"
,3,"(2, 3, 7)","[(187, 184), (169, 174), (13, 24)]"
,3,"(2, 6, 7)","[(187, 184), (79, 108), (13, 24)]"
,3,"(3, 6, 7)","[(169, 174), (79, 108), (13, 24)]"
,3,"(5, 6, 7)","[(147, 182), (79, 108), (13, 24)]"
,4,"(0, 1, 2, 3)","[(155, 215), (252, 240), (187, 184), (169, 174)]"
,4,"(0, 1, 2, 4)","[(155, 215), (252, 240), (187, 184), (162, 179)]"
,4,"(0, 1, 2, 5)","[(155, 215), (252, 240), (187, 184), (147, 182)]"
,4,"(0, 1, 4, 5)","[(155, 215), (252, 240), (162, 179), (147, 182)]"
,4,"(0, 4, 5, 6)","[(155, 215), (162, 179), (147, 182), (79, 108)]"
,4,"(0, 5, 6, 7)","[(155, 215), (147, 182), (79, 108), (13, 24)]"
