PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(123, 170)",2,"(0, 1)","[(123, 170), (142, 173)]"
"(142, 173)",2,"(0, 7)","[(123, 170), (46, 82)]"
"(192, 146)",2,"(1, 2)","[(142, 173), (192, 146)]"
"(209, 123)",2,"(2, 3)","[(192, 146), (209, 123)]"
"(135, 130)",2,"(3, 5)","[(209, 123), (125, 109)]"
"(125, 109)",2,"(3, 7)","[(209, 123), (46, 82)]"
"(120, 141)",2,"(5, 7)","[(125, 109), (46, 82)]"
"(46, 82)",2,"(6, 7)","[(120, 141), (46, 82)]"
,3,"(0, 1, 2)","[(123, 170), (142, 173), (192, 146)]"
,3,"(0, 1, 6)","[(123, 170), (142, 173), (120, 141)]"
,3,"(0, 1, 7)","[(123, 170), (142, 173), (46, 82)]"
,3,"(0, 6, 7)","[(123, 170), (120, 141), (46, 82)]"
,3,"(1, 2, 3)","[(142, 173), (192, 146), (209, 123)]"
,3,"(2, 3, 4)","[(192, 146), (209, 123), (135, 130)]"
,3,"(2, 3, 5)","[(192, 146), (209, 123), (125, 109)]"
,3,"(3, 5, 7)","[(209, 123), (125, 109), (46, 82)]"
,3,"(4, 5, 7)","[(135, 130), (125, 109), (46, 82)]"
,3,"(5, 6, 7)","[(125, 109), (120, 141), (46, 82)]"
,4,"(0, 1, 2, 3)","[(123, 170), (142, 173), (192, 146), (209, 123)]"
,4,"(0, 1, 2, 6)","[(123, 170), (142, 173), (192, 146), (120, 141)]"
,4,"(0, 1, 4, 6)","[(123, 170), (142, 173), (135, 130), (120, 141)]"
,4,"(0, 1, 6, 7)","[(123, 170), (142, 173), (120, 141), (46, 82)]"
,4,"(0, 5, 6, 7)","[(123, 170), (125, 109), (120, 141), (46, 82)]"
