PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(237, 139)",2,"(0, 1)","[(237, 139), (24, 8)]"
"(24, 8)",2,"(0, 3)","[(237, 139), (138, 138)]"
"(25, 132)",2,"(0, 7)","[(237, 139), (19, 248)]"
"(138, 138)",2,"(1, 2)","[(24, 8), (25, 132)]"
"(60, 141)",2,"(1, 7)","[(24, 8), (19, 248)]"
"(64, 147)",2,"(2, 7)","[(25, 132), (19, 248)]"
"(86, 160)",2,"(6, 7)","[(86, 160), (19, 248)]"
"(19, 248)",3,"(0, 1, 2)","[(237, 139), (24, 8), (25, 132)]"
,3,"(0, 1, 3)","[(237, 139), (24, 8), (138, 138)]"
,3,"(0, 3, 6)","[(237, 139), (138, 138), (86, 160)]"
,3,"(0, 3, 7)","[(237, 139), (138, 138), (19, 248)]"
,3,"(0, 6, 7)","[(237, 139), (86, 160), (19, 248)]"
,3,"(1, 2, 3)","[(24, 8), (25, 132), (138, 138)]"
,3,"(1, 2, 4)","[(24, 8), (25, 132), (60, 141)]"
,3,"(1, 2, 7)","[(24, 8), (25, 132), (19, 248)]"
,3,"(2, 4, 7)","[(25, 132), (60, 141), (19, 248)]"
,3,"(2, 5, 7)","[(25, 132), (64, 147), (19, 248)]"
,3,"(2, 6, 7)","[(25, 132), (86, 160), (19, 248)]"
,3,"(5, 6, 7)","[(64, 147), (86, 160), (19, 248)]"
,4,"(0, 1, 2, 3)","[(237, 139), (24, 8), (25, 132), (138, 138)]"
,4,"(0, 1, 3, 4)","[(237, 139), (24, 8), (138, 138), (60, 141)]"
,4,"(0, 1, 3, 6)","[(237, 139), (24, 8), (138, 138), (86, 160)]"
,4,"(0, 3, 5, 6)","[(237, 139), (138, 138), (64, 147), (86, 160)]"
,4,"(0, 3, 6, 7)","[(237, 139), (138, 138), (86, 160), (19, 248)]"
,4,"(0, 5, 6, 7)","[(237, 139), (64, 147), (86, 160), (19, 248)]"
