PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(29, 107)",2,"(0, 1)","[(29, 107), (31, 128)]"
"(31, 128)",2,"(0, 7)","[(29, 107), (103, 7)]"
"(229, 251)",2,"(1, 2)","[(31, 128), (229, 251)]"
"(175, 176)",2,"(2, 3)","[(229, 251), (175, 176)]"
"(203, 173)",2,"(2, 4)","[(229, 251), (203, 173)]"
"(113, 132)",2,"(4, 7)","[(203, 173), (103, 7)]"
"(92, 91)",2,"(6, 7)","[(92, 91), (103, 7)]"
"(103, 7)",3,"(0, 1, 2)","[(29, 107), (31, 128), (229, 251)]"
,3,"(0, 1, 5)","[(29, 107), (31, 128), (113, 132)]"
,3,"(0, 1, 6)","[(29, 107), (31, 128), (92, 91)]"
,3,"(0, 1, 7)","[(29, 107), (31, 128), (103, 7)]"
,3,"(0, 6, 7)","[(29, 107), (92, 91), (103, 7)]"
,3,"(1, 2, 3)","[(31, 128), (229, 251), (175, 176)]"
,3,"(2, 3, 4)","[(229, 251), (175, 176), (203, 173)]"
,3,"(2, 4, 7)","[(229, 251), (203, 173), (103, 7)]"
,3,"(3, 4, 7)","[(175, 176), (203, 173), (103, 7)]"
,3,"(4, 6, 7)","[(203, 173), (92, 91), (103, 7)]"
,3,"(5, 6, 7)","[(113, 132), (92, 91), (103, 7)]"
,4,"(0, 1, 2, 3)","[(29, 107), (31, 128), (229, 251), (175, 176)]"
,4,"(0, 1, 2, 5)","[(29, 107), (31, 128), (229, 251), (113, 132)]"
,4,"(0, 1, 5, 6)","[(29, 107), (31, 128), (113, 132), (92, 91)]"
,4,"(0, 1, 6, 7)","[(29, 107), (31, 128), (92, 91), (103, 7)]"
,4,"(0, 5, 6, 7)","[(29, 107), (113, 132), (92, 91), (103, 7)]"
