PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(38, 216)",2,"(0, 1)","[(38, 216), (113, 222)]"
"(113, 222)",2,"(0, 6)","[(38, 216), (106, 93)]"
"(218, 200)",2,"(0, 7)","[(38, 216), (107, 33)]"
"(123, 133)",2,"(1, 2)","[(113, 222), (218, 200)]"
"(141, 109)",2,"(2, 4)","[(218, 200), (141, 109)]"
"(120, 92)",2,"(2, 7)","[(218, 200), (107, 33)]"
"(106, 93)",2,"(4, 7)","[(141, 109), (107, 33)]"
"(107, 33)",2,"(5, 7)","[(120, 92), (107, 33)]"
,2,"(6, 7)","[(106, 93), (107, 33)]"
,3,"(0, 1, 2)","[(38, 216), (113, 222), (218, 200)]"
,3,"(0, 1, 3)","[(38, 216), (113, 222), (123, 133)]"
,3,"(0, 1, 6)","[(38, 216), (113, 222), (106, 93)]"
,3,"(0, 6, 7)","[(38, 216), (106, 93), (107, 33)]"
,3,"(1, 2, 3)","[(113, 222), (218, 200), (123, 133)]"
,3,"(1, 2, 4)","[(113, 222), (218, 200), (141, 109)]"
,3,"(2, 3, 4)","[(218, 200), (123, 133), (141, 109)]"
,3,"(2, 4, 5)","[(218, 200), (141, 109), (120, 92)]"
,3,"(2, 4, 7)","[(218, 200), (141, 109), (107, 33)]"
,3,"(4, 5, 7)","[(141, 109), (120, 92), (107, 33)]"
,3,"(5, 6, 7)","[(120, 92), (106, 93), (107, 33)]"
,4,"(0, 1, 2, 3)","[(38, 216), (113, 222), (218, 200), (123, 133)]"
,4,"(0, 1, 3, 6)","[(38, 216), (113, 222), (123, 133), (106, 93)]"
,4,"(0, 1, 6, 7)","[(38, 216), (113, 222), (106, 93), (107, 33)]"
,4,"(0, 5, 6, 7)","[(38, 216), (120, 92), (106, 93), (107, 33)]"
