PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(243, 58)",2,"(0, 1)","[(243, 58), (75, 35)]"
"(75, 35)",2,"(0, 6)","[(243, 58), (144, 159)]"
"(0, 138)",2,"(0, 7)","[(243, 58), (110, 221)]"
"(100, 120)",2,"(1, 2)","[(75, 35), (0, 138)]"
"(85, 144)",2,"(2, 4)","[(0, 138), (85, 144)]"
"(122, 136)",2,"(2, 7)","[(0, 138), (110, 221)]"
"(144, 159)",2,"(6, 7)","[(144, 159), (110, 221)]"
"(110, 221)",3,"(0, 1, 2)","[(243, 58), (75, 35), (0, 138)]"
,3,"(0, 1, 3)","[(243, 58), (75, 35), (100, 120)]"
,3,"(0, 1, 5)","[(243, 58), (75, 35), (122, 136)]"
,3,"(0, 1, 6)","[(243, 58), (75, 35), (144, 159)]"
,3,"(0, 5, 6)","[(243, 58), (122, 136), (144, 159)]"
,3,"(0, 6, 7)","[(243, 58), (144, 159), (110, 221)]"
,3,"(1, 2, 3)","[(75, 35), (0, 138), (100, 120)]"
,3,"(1, 2, 4)","[(75, 35), (0, 138), (85, 144)]"
,3,"(2, 4, 7)","[(0, 138), (85, 144), (110, 221)]"
,3,"(2, 6, 7)","[(0, 138), (144, 159), (110, 221)]"
,3,"(4, 6, 7)","[(85, 144), (144, 159), (110, 221)]"
,3,"(5, 6, 7)","[(122, 136), (144, 159), (110, 221)]"
,4,"(0, 1, 2, 3)","[(243, 58), (75, 35), (0, 138), (100, 120)]"
,4,"(0, 1, 3, 5)","[(243, 58), (75, 35), (100, 120), (122, 136)]"
,4,"(0, 1, 5, 6)","[(243, 58), (75, 35), (122, 136), (144, 159)]"
,4,"(0, 3, 5, 6)","[(243, 58), (100, 120), (122, 136), (144, 159)]"
,4,"(0, 5, 6, 7)","[(243, 58), (122, 136), (144, 159), (110, 221)]"
