PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(168, 85)",2,"(0, 1)","[(168, 85), (42, 64)]"
"(42, 64)",2,"(0, 7)","[(168, 85), (213, 138)]"
"(83, 254)",2,"(1, 2)","[(42, 64), (83, 254)]"
"(127, 172)",2,"(2, 3)","[(83, 254), (127, 172)]"
"(137, 159)",2,"(2, 7)","[(83, 254), (213, 138)]"
"(160, 146)",2,"(5, 7)","[(160, 146), (213, 138)]"
"(166, 133)",2,"(6, 7)","[(166, 133), (213, 138)]"
"(213, 138)",3,"(0, 1, 2)","[(168, 85), (42, 64), (83, 254)]"
,3,"(0, 1, 3)","[(168, 85), (42, 64), (127, 172)]"
,3,"(0, 1, 4)","[(168, 85), (42, 64), (137, 159)]"
,3,"(0, 1, 6)","[(168, 85), (42, 64), (166, 133)]"
,3,"(0, 1, 7)","[(168, 85), (42, 64), (213, 138)]"
,3,"(0, 6, 7)","[(168, 85), (166, 133), (213, 138)]"
,3,"(1, 2, 3)","[(42, 64), (83, 254), (127, 172)]"
,3,"(2, 3, 4)","[(83, 254), (127, 172), (137, 159)]"
,3,"(2, 3, 7)","[(83, 254), (127, 172), (213, 138)]"
,3,"(2, 5, 7)","[(83, 254), (160, 146), (213, 138)]"
,3,"(5, 6, 7)","[(160, 146), (166, 133), (213, 138)]"
,4,"(0, 1, 2, 3)","[(168, 85), (42, 64), (83, 254), (127, 172)]"
,4,"(0, 1, 3, 4)","[(168, 85), (42, 64), (127, 172), (137, 159)]"
,4,"(0, 1, 4, 6)","[(168, 85), (42, 64), (137, 159), (166, 133)]"
,4,"(0, 1, 5, 6)","[(168, 85), (42, 64), (160, 146), (166, 133)]"
,4,"(0, 1, 6, 7)","[(168, 85), (42, 64), (166, 133), (213, 138)]"
,4,"(0, 5, 6, 7)","[(168, 85), (160, 146), (166, 133), (213, 138)]"
