PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(246, 168)",2,"(0, 1)","[(246, 168), (173, 43)]"
"(173, 43)",2,"(0, 5)","[(246, 168), (198, 167)]"
"(79, 37)",2,"(0, 7)","[(246, 168), (132, 241)]"
"(7, 14)",2,"(1, 2)","[(173, 43), (79, 37)]"
"(160, 159)",2,"(1, 3)","[(173, 43), (7, 14)]"
"(198, 167)",2,"(2, 3)","[(79, 37), (7, 14)]"
"(133, 179)",2,"(3, 7)","[(7, 14), (132, 241)]"
"(132, 241)",2,"(6, 7)","[(133, 179), (132, 241)]"
,3,"(0, 1, 2)","[(246, 168), (173, 43), (79, 37)]"
,3,"(0, 1, 5)","[(246, 168), (173, 43), (198, 167)]"
,3,"(0, 4, 5)","[(246, 168), (160, 159), (198, 167)]"
,3,"(0, 5, 7)","[(246, 168), (198, 167), (132, 241)]"
,3,"(0, 6, 7)","[(246, 168), (133, 179), (132, 241)]"
,3,"(1, 2, 3)","[(173, 43), (79, 37), (7, 14)]"
,3,"(2, 3, 6)","[(79, 37), (7, 14), (133, 179)]"
,3,"(2, 3, 7)","[(79, 37), (7, 14), (132, 241)]"
,3,"(3, 6, 7)","[(7, 14), (133, 179), (132, 241)]"
,3,"(4, 6, 7)","[(160, 159), (133, 179), (132, 241)]"
,3,"(5, 6, 7)","[(198, 167), (133, 179), (132, 241)]"
,4,"(0, 1, 2, 3)","[(246, 168), (173, 43), (79, 37), (7, 14)]"
,4,"(0, 1, 2, 5)","[(246, 168), (173, 43), (79, 37), (198, 167)]"
,4,"(0, 1, 4, 5)","[(246, 168), (173, 43), (160, 159), (198, 167)]"
,4,"(0, 4, 5, 7)","[(246, 168), (160, 159), (198, 167), (132, 241)]"
,4,"(0, 5, 6, 7)","[(246, 168), (198, 167), (133, 179), (132, 241)]"
