PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(211, 242)",2,"(0, 1)","[(211, 242), (73, 13)]"
"(73, 13)",2,"(0, 3)","[(211, 242), (143, 190)]"
"(64, 117)",2,"(0, 5)","[(211, 242), (144, 202)]"
"(143, 190)",2,"(0, 7)","[(211, 242), (35, 204)]"
"(54, 132)",2,"(1, 2)","[(73, 13), (64, 117)]"
"(144, 202)",2,"(1, 4)","[(73, 13), (54, 132)]"
"(72, 167)",2,"(1, 7)","[(73, 13), (35, 204)]"
"(35, 204)",2,"(4, 7)","[(54, 132), (35, 204)]"
,2,"(6, 7)","[(72, 167), (35, 204)]"
,3,"(0, 1, 2)","[(211, 242), (73, 13), (64, 117)]"
,3,"(0, 1, 3)","[(211, 242), (73, 13), (143, 190)]"
,3,"(0, 3, 5)","[(211, 242), (143, 190), (144, 202)]"
,3,"(0, 5, 7)","[(211, 242), (144, 202), (35, 204)]"
,3,"(0, 6, 7)","[(211, 242), (72, 167), (35, 204)]"
,3,"(1, 2, 3)","[(73, 13), (64, 117), (143, 190)]"
,3,"(1, 2, 4)","[(73, 13), (64, 117), (54, 132)]"
,3,"(1, 4, 7)","[(73, 13), (54, 132), (35, 204)]"
,3,"(2, 4, 7)","[(64, 117), (54, 132), (35, 204)]"
,3,"(4, 6, 7)","[(54, 132), (72, 167), (35, 204)]"
,3,"(5, 6, 7)","[(144, 202), (72, 167), (35, 204)]"
,4,"(0, 1, 2, 3)","[(211, 242), (73, 13), (64, 117), (143, 190)]"
,4,"(0, 1, 3, 5)","[(211, 242), (73, 13), (143, 190), (144, 202)]"
,4,"(0, 3, 5, 6)","[(211, 242), (143, 190), (144, 202), (72, 167)]"
,4,"(0, 3, 5, 7)","[(211, 242), (143, 190), (144, 202), (35, 204)]"
,4,"(0, 5, 6, 7)","[(211, 242), (144, 202), (72, 167), (35, 204)]"
