PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(8, 129)",2,"(0, 1)","[(8, 129), (200, 251)]"
"(200, 251)",2,"(0, 4)","[(8, 129), (57, 142)]"
"(193, 226)",2,"(0, 7)","[(8, 129), (248, 4)]"
"(166, 194)",2,"(1, 2)","[(200, 251), (193, 226)]"
"(57, 142)",2,"(1, 7)","[(200, 251), (248, 4)]"
"(145, 144)",2,"(2, 7)","[(193, 226), (248, 4)]"
"(93, 132)",2,"(5, 7)","[(145, 144), (248, 4)]"
"(248, 4)",2,"(6, 7)","[(93, 132), (248, 4)]"
,3,"(0, 1, 2)","[(8, 129), (200, 251), (193, 226)]"
,3,"(0, 1, 4)","[(8, 129), (200, 251), (57, 142)]"
,3,"(0, 4, 6)","[(8, 129), (57, 142), (93, 132)]"
,3,"(0, 4, 7)","[(8, 129), (57, 142), (248, 4)]"
,3,"(0, 6, 7)","[(8, 129), (93, 132), (248, 4)]"
,3,"(1, 2, 3)","[(200, 251), (193, 226), (166, 194)]"
,3,"(1, 2, 7)","[(200, 251), (193, 226), (248, 4)]"
,3,"(2, 5, 7)","[(193, 226), (145, 144), (248, 4)]"
,3,"(3, 5, 7)","[(166, 194), (145, 144), (248, 4)]"
,3,"(5, 6, 7)","[(145, 144), (93, 132), (248, 4)]"
,4,"(0, 1, 2, 3)","[(8, 129), (200, 251), (193, 226), (166, 194)]"
,4,"(0, 1, 2, 4)","[(8, 129), (200, 251), (193, 226), (57, 142)]"
,4,"(0, 1, 4, 6)","[(8, 129), (200, 251), (57, 142), (93, 132)]"
,4,"(0, 3, 4, 6)","[(8, 129), (166, 194), (57, 142), (93, 132)]"
,4,"(0, 4, 5, 6)","[(8, 129), (57, 142), (145, 144), (93, 132)]"
,4,"(0, 4, 6, 7)","[(8, 129), (57, 142), (93, 132), (248, 4)]"
,4,"(0, 5, 6, 7)","[(8, 129), (145, 144), (93, 132), (248, 4)]"
