PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(147, 229)",2,"(0, 1)","[(147, 229), (235, 60)]"
"(235, 60)",2,"(0, 2)","[(147, 229), (158, 190)]"
"(158, 190)",2,"(0, 6)","[(147, 229), (127, 185)]"
"(182, 53)",2,"(0, 7)","[(147, 229), (24, 9)]"
"(162, 126)",2,"(1, 2)","[(235, 60), (158, 190)]"
"(152, 149)",2,"(1, 3)","[(235, 60), (182, 53)]"
"(127, 185)",2,"(1, 7)","[(235, 60), (24, 9)]"
"(24, 9)",2,"(3, 7)","[(182, 53), (24, 9)]"
,2,"(6, 7)","[(127, 185), (24, 9)]"
,3,"(0, 1, 2)","[(147, 229), (235, 60), (158, 190)]"
,3,"(0, 2, 6)","[(147, 229), (158, 190), (127, 185)]"
,3,"(0, 6, 7)","[(147, 229), (127, 185), (24, 9)]"
,3,"(1, 2, 3)","[(235, 60), (158, 190), (182, 53)]"
,3,"(1, 3, 4)","[(235, 60), (182, 53), (162, 126)]"
,3,"(1, 3, 7)","[(235, 60), (182, 53), (24, 9)]"
,3,"(3, 4, 7)","[(182, 53), (162, 126), (24, 9)]"
,3,"(3, 6, 7)","[(182, 53), (127, 185), (24, 9)]"
,3,"(5, 6, 7)","[(152, 149), (127, 185), (24, 9)]"
,4,"(0, 1, 2, 3)","[(147, 229), (235, 60), (158, 190), (182, 53)]"
,4,"(0, 1, 2, 4)","[(147, 229), (235, 60), (158, 190), (162, 126)]"
,4,"(0, 1, 2, 5)","[(147, 229), (235, 60), (158, 190), (152, 149)]"
,4,"(0, 1, 2, 6)","[(147, 229), (235, 60), (158, 190), (127, 185)]"
,4,"(0, 2, 5, 6)","[(147, 229), (158, 190), (152, 149), (127, 185)]"
,4,"(0, 2, 6, 7)","[(147, 229), (158, 190), (127, 185), (24, 9)]"
,4,"(0, 5, 6, 7)","[(147, 229), (152, 149), (127, 185), (24, 9)]"
