PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(153, 189)",2,"(0, 1)","[(153, 189), (243, 149)]"
"(243, 149)",2,"(0, 5)","[(153, 189), (140, 168)]"
"(208, 145)",2,"(0, 6)","[(153, 189), (123, 157)]"
"(173, 159)",2,"(0, 7)","[(153, 189), (15, 66)]"
"(150, 151)",2,"(1, 2)","[(243, 149), (208, 145)]"
"(140, 168)",2,"(1, 7)","[(243, 149), (15, 66)]"
"(123, 157)",2,"(2, 7)","[(208, 145), (15, 66)]"
"(15, 66)",2,"(4, 7)","[(150, 151), (15, 66)]"
,2,"(6, 7)","[(123, 157), (15, 66)]"
,3,"(0, 1, 2)","[(153, 189), (243, 149), (208, 145)]"
,3,"(0, 1, 3)","[(153, 189), (243, 149), (173, 159)]"
,3,"(0, 1, 5)","[(153, 189), (243, 149), (140, 168)]"
,3,"(0, 3, 5)","[(153, 189), (173, 159), (140, 168)]"
,3,"(0, 5, 6)","[(153, 189), (140, 168), (123, 157)]"
,3,"(0, 6, 7)","[(153, 189), (123, 157), (15, 66)]"
,3,"(1, 2, 3)","[(243, 149), (208, 145), (173, 159)]"
,3,"(1, 2, 7)","[(243, 149), (208, 145), (15, 66)]"
,3,"(2, 4, 7)","[(208, 145), (150, 151), (15, 66)]"
,3,"(4, 6, 7)","[(150, 151), (123, 157), (15, 66)]"
,3,"(5, 6, 7)","[(140, 168), (123, 157), (15, 66)]"
,4,"(0, 1, 2, 3)","[(153, 189), (243, 149), (208, 145), (173, 159)]"
,4,"(0, 1, 3, 5)","[(153, 189), (243, 149), (173, 159), (140, 168)]"
,4,"(0, 3, 5, 6)","[(153, 189), (173, 159), (140, 168), (123, 157)]"
,4,"(0, 4, 5, 6)","[(153, 189), (150, 151), (140, 168), (123, 157)]"
,4,"(0, 5, 6, 7)","[(153, 189), (140, 168), (123, 157), (15, 66)]"
