PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(238, 25)",2,"(0, 1)","[(238, 25), (18, 18)]"
"(18, 18)",2,"(0, 5)","[(238, 25), (216, 90)]"
"(81, 80)",2,"(0, 6)","[(238, 25), (219, 97)]"
"(94, 78)",2,"(0, 7)","[(238, 25), (228, 237)]"
"(165, 82)",2,"(1, 2)","[(18, 18), (81, 80)]"
"(216, 90)",2,"(1, 7)","[(18, 18), (228, 237)]"
"(219, 97)",2,"(2, 7)","[(81, 80), (228, 237)]"
"(228, 237)",2,"(6, 7)","[(219, 97), (228, 237)]"
,3,"(0, 1, 2)","[(238, 25), (18, 18), (81, 80)]"
,3,"(0, 1, 3)","[(238, 25), (18, 18), (94, 78)]"
,3,"(0, 1, 4)","[(238, 25), (18, 18), (165, 82)]"
,3,"(0, 1, 5)","[(238, 25), (18, 18), (216, 90)]"
,3,"(0, 5, 6)","[(238, 25), (216, 90), (219, 97)]"
,3,"(0, 6, 7)","[(238, 25), (219, 97), (228, 237)]"
,3,"(1, 2, 3)","[(18, 18), (81, 80), (94, 78)]"
,3,"(1, 2, 7)","[(18, 18), (81, 80), (228, 237)]"
,3,"(2, 3, 7)","[(81, 80), (94, 78), (228, 237)]"
,3,"(2, 6, 7)","[(81, 80), (219, 97), (228, 237)]"
,3,"(5, 6, 7)","[(216, 90), (219, 97), (228, 237)]"
,4,"(0, 1, 2, 3)","[(238, 25), (18, 18), (81, 80), (94, 78)]"
,4,"(0, 1, 3, 4)","[(238, 25), (18, 18), (94, 78), (165, 82)]"
,4,"(0, 1, 4, 5)","[(238, 25), (18, 18), (165, 82), (216, 90)]"
,4,"(0, 1, 5, 6)","[(238, 25), (18, 18), (216, 90), (219, 97)]"
,4,"(0, 4, 5, 6)","[(238, 25), (165, 82), (216, 90), (219, 97)]"
,4,"(0, 5, 6, 7)","[(238, 25), (216, 90), (219, 97), (228, 237)]"
