PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(244, 237)",2,"(0, 1)","[(244, 237), (21, 3)]"
"(21, 3)",2,"(0, 4)","[(244, 237), (191, 230)]"
"(89, 179)",2,"(0, 5)","[(244, 237), (176, 236)]"
"(142, 203)",2,"(0, 7)","[(244, 237), (92, 247)]"
"(191, 230)",2,"(1, 2)","[(21, 3), (89, 179)]"
"(176, 236)",2,"(1, 7)","[(21, 3), (92, 247)]"
"(102, 241)",2,"(6, 7)","[(102, 241), (92, 247)]"
"(92, 247)",3,"(0, 1, 2)","[(244, 237), (21, 3), (89, 179)]"
,3,"(0, 1, 3)","[(244, 237), (21, 3), (142, 203)]"
,3,"(0, 1, 4)","[(244, 237), (21, 3), (191, 230)]"
,3,"(0, 4, 5)","[(244, 237), (191, 230), (176, 236)]"
,3,"(0, 5, 7)","[(244, 237), (176, 236), (92, 247)]"
,3,"(0, 6, 7)","[(244, 237), (102, 241), (92, 247)]"
,3,"(1, 2, 3)","[(21, 3), (89, 179), (142, 203)]"
,3,"(1, 2, 7)","[(21, 3), (89, 179), (92, 247)]"
,3,"(1, 6, 7)","[(21, 3), (102, 241), (92, 247)]"
,3,"(2, 6, 7)","[(89, 179), (102, 241), (92, 247)]"
,3,"(5, 6, 7)","[(176, 236), (102, 241), (92, 247)]"
,4,"(0, 1, 2, 3)","[(244, 237), (21, 3), (89, 179), (142, 203)]"
,4,"(0, 1, 3, 4)","[(244, 237), (21, 3), (142, 203), (191, 230)]"
,4,"(0, 1, 4, 5)","[(244, 237), (21, 3), (191, 230), (176, 236)]"
,4,"(0, 3, 4, 5)","[(244, 237), (142, 203), (191, 230), (176, 236)]"
,4,"(0, 4, 5, 6)","[(244, 237), (191, 230), (176, 236), (102, 241)]"
,4,"(0, 4, 5, 7)","[(244, 237), (191, 230), (176, 236), (92, 247)]"
,4,"(0, 5, 6, 7)","[(244, 237), (176, 236), (102, 241), (92, 247)]"
