PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(250, 158)",2,"(0, 1)","[(250, 158), (65, 9)]"
"(65, 9)",2,"(0, 3)","[(250, 158), (114, 134)]"
"(42, 119)",2,"(0, 7)","[(250, 158), (6, 247)]"
"(114, 134)",2,"(1, 2)","[(65, 9), (42, 119)]"
"(87, 148)",2,"(1, 7)","[(65, 9), (6, 247)]"
"(82, 149)",2,"(2, 7)","[(42, 119), (6, 247)]"
"(90, 157)",2,"(6, 7)","[(90, 157), (6, 247)]"
"(6, 247)",3,"(0, 1, 2)","[(250, 158), (65, 9), (42, 119)]"
,3,"(0, 1, 3)","[(250, 158), (65, 9), (114, 134)]"
,3,"(0, 3, 6)","[(250, 158), (114, 134), (90, 157)]"
,3,"(0, 3, 7)","[(250, 158), (114, 134), (6, 247)]"
,3,"(0, 6, 7)","[(250, 158), (90, 157), (6, 247)]"
,3,"(1, 2, 3)","[(65, 9), (42, 119), (114, 134)]"
,3,"(1, 2, 5)","[(65, 9), (42, 119), (82, 149)]"
,3,"(1, 2, 7)","[(65, 9), (42, 119), (6, 247)]"
,3,"(2, 5, 7)","[(42, 119), (82, 149), (6, 247)]"
,3,"(2, 6, 7)","[(42, 119), (90, 157), (6, 247)]"
,3,"(5, 6, 7)","[(82, 149), (90, 157), (6, 247)]"
,4,"(0, 1, 2, 3)","[(250, 158), (65, 9), (42, 119), (114, 134)]"
,4,"(0, 1, 3, 4)","[(250, 158), (65, 9), (114, 134), (87, 148)]"
,4,"(0, 1, 3, 6)","[(250, 158), (65, 9), (114, 134), (90, 157)]"
,4,"(0, 3, 4, 6)","[(250, 158), (114, 134), (87, 148), (90, 157)]"
,4,"(0, 3, 6, 7)","[(250, 158), (114, 134), (90, 157), (6, 247)]"
,4,"(0, 4, 6, 7)","[(250, 158), (87, 148), (90, 157), (6, 247)]"
,4,"(0, 5, 6, 7)","[(250, 158), (82, 149), (90, 157), (6, 247)]"
