PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(10, 235)",2,"(0, 1)","[(10, 235), (251, 100)]"
"(251, 100)",2,"(0, 4)","[(10, 235), (46, 203)]"
"(198, 113)",2,"(0, 5)","[(10, 235), (24, 170)]"
"(134, 145)",2,"(0, 7)","[(10, 235), (5, 34)]"
"(46, 203)",2,"(1, 2)","[(251, 100), (198, 113)]"
"(24, 170)",2,"(1, 7)","[(251, 100), (5, 34)]"
"(18, 106)",2,"(6, 7)","[(18, 106), (5, 34)]"
"(5, 34)",3,"(0, 1, 2)","[(10, 235), (251, 100), (198, 113)]"
,3,"(0, 1, 4)","[(10, 235), (251, 100), (46, 203)]"
,3,"(0, 3, 4)","[(10, 235), (134, 145), (46, 203)]"
,3,"(0, 4, 5)","[(10, 235), (46, 203), (24, 170)]"
,3,"(0, 5, 6)","[(10, 235), (24, 170), (18, 106)]"
,3,"(0, 5, 7)","[(10, 235), (24, 170), (5, 34)]"
,3,"(0, 6, 7)","[(10, 235), (18, 106), (5, 34)]"
,3,"(1, 2, 3)","[(251, 100), (198, 113), (134, 145)]"
,3,"(1, 2, 7)","[(251, 100), (198, 113), (5, 34)]"
,3,"(1, 6, 7)","[(251, 100), (18, 106), (5, 34)]"
,3,"(2, 6, 7)","[(198, 113), (18, 106), (5, 34)]"
,3,"(5, 6, 7)","[(24, 170), (18, 106), (5, 34)]"
,4,"(0, 1, 2, 3)","[(10, 235), (251, 100), (198, 113), (134, 145)]"
,4,"(0, 1, 2, 4)","[(10, 235), (251, 100), (198, 113), (46, 203)]"
,4,"(0, 1, 3, 4)","[(10, 235), (251, 100), (134, 145), (46, 203)]"
,4,"(0, 3, 4, 5)","[(10, 235), (134, 145), (46, 203), (24, 170)]"
,4,"(0, 4, 5, 6)","[(10, 235), (46, 203), (24, 170), (18, 106)]"
,4,"(0, 5, 6, 7)","[(10, 235), (24, 170), (18, 106), (5, 34)]"
