PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(249, 26)",2,"(0, 1)","[(249, 26), (7, 79)]"
"(7, 79)",2,"(0, 3)","[(249, 26), (165, 57)]"
"(38, 97)",2,"(0, 5)","[(249, 26), (197, 62)]"
"(165, 57)",2,"(0, 7)","[(249, 26), (182, 230)]"
"(169, 61)",2,"(1, 2)","[(7, 79), (38, 97)]"
"(197, 62)",2,"(1, 7)","[(7, 79), (182, 230)]"
"(152, 137)",2,"(2, 7)","[(38, 97), (182, 230)]"
"(182, 230)",2,"(6, 7)","[(152, 137), (182, 230)]"
,3,"(0, 1, 2)","[(249, 26), (7, 79), (38, 97)]"
,3,"(0, 1, 3)","[(249, 26), (7, 79), (165, 57)]"
,3,"(0, 3, 4)","[(249, 26), (165, 57), (169, 61)]"
,3,"(0, 3, 5)","[(249, 26), (165, 57), (197, 62)]"
,3,"(0, 4, 5)","[(249, 26), (169, 61), (197, 62)]"
,3,"(0, 5, 7)","[(249, 26), (197, 62), (182, 230)]"
,3,"(0, 6, 7)","[(249, 26), (152, 137), (182, 230)]"
,3,"(1, 2, 3)","[(7, 79), (38, 97), (165, 57)]"
,3,"(1, 2, 6)","[(7, 79), (38, 97), (152, 137)]"
,3,"(1, 2, 7)","[(7, 79), (38, 97), (182, 230)]"
,3,"(2, 6, 7)","[(38, 97), (152, 137), (182, 230)]"
,3,"(5, 6, 7)","[(197, 62), (152, 137), (182, 230)]"
,4,"(0, 1, 2, 3)","[(249, 26), (7, 79), (38, 97), (165, 57)]"
,4,"(0, 1, 3, 4)","[(249, 26), (7, 79), (165, 57), (169, 61)]"
,4,"(0, 3, 4, 5)","[(249, 26), (165, 57), (169, 61), (197, 62)]"
,4,"(0, 4, 5, 7)","[(249, 26), (169, 61), (197, 62), (182, 230)]"
,4,"(0, 5, 6, 7)","[(249, 26), (197, 62), (152, 137), (182, 230)]"
