PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(11, 84)",2,"(0, 1)","[(11, 84), (127, 225)]"
"(127, 225)",2,"(0, 6)","[(11, 84), (138, 85)]"
"(173, 135)",2,"(0, 7)","[(11, 84), (244, 30)]"
"(139, 122)",2,"(1, 2)","[(127, 225), (173, 135)]"
"(155, 124)",2,"(1, 7)","[(127, 225), (244, 30)]"
"(149, 116)",2,"(2, 7)","[(173, 135), (244, 30)]"
"(138, 85)",2,"(6, 7)","[(138, 85), (244, 30)]"
"(244, 30)",3,"(0, 1, 2)","[(11, 84), (127, 225), (173, 135)]"
,3,"(0, 1, 3)","[(11, 84), (127, 225), (139, 122)]"
,3,"(0, 1, 6)","[(11, 84), (127, 225), (138, 85)]"
,3,"(0, 3, 6)","[(11, 84), (139, 122), (138, 85)]"
,3,"(0, 6, 7)","[(11, 84), (138, 85), (244, 30)]"
,3,"(1, 2, 3)","[(127, 225), (173, 135), (139, 122)]"
,3,"(1, 2, 4)","[(127, 225), (173, 135), (155, 124)]"
,3,"(1, 2, 7)","[(127, 225), (173, 135), (244, 30)]"
,3,"(2, 4, 7)","[(173, 135), (155, 124), (244, 30)]"
,3,"(2, 6, 7)","[(173, 135), (138, 85), (244, 30)]"
,3,"(5, 6, 7)","[(149, 116), (138, 85), (244, 30)]"
,4,"(0, 1, 2, 3)","[(11, 84), (127, 225), (173, 135), (139, 122)]"
,4,"(0, 1, 3, 4)","[(11, 84), (127, 225), (139, 122), (155, 124)]"
,4,"(0, 1, 3, 5)","[(11, 84), (127, 225), (139, 122), (149, 116)]"
,4,"(0, 1, 3, 6)","[(11, 84), (127, 225), (139, 122), (138, 85)]"
,4,"(0, 3, 5, 6)","[(11, 84), (139, 122), (149, 116), (138, 85)]"
,4,"(0, 3, 6, 7)","[(11, 84), (139, 122), (138, 85), (244, 30)]"
,4,"(0, 5, 6, 7)","[(11, 84), (149, 116), (138, 85), (244, 30)]"
