PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(69, 231)",2,"(0, 1)","[(69, 231), (203, 204)]"
"(203, 204)",2,"(0, 5)","[(69, 231), (91, 189)]"
"(153, 157)",2,"(0, 6)","[(69, 231), (72, 180)]"
"(117, 184)",2,"(0, 7)","[(69, 231), (39, 1)]"
"(128, 167)",2,"(1, 2)","[(203, 204), (153, 157)]"
"(91, 189)",2,"(1, 7)","[(203, 204), (39, 1)]"
"(72, 180)",2,"(2, 7)","[(153, 157), (39, 1)]"
"(39, 1)",2,"(6, 7)","[(72, 180), (39, 1)]"
,3,"(0, 1, 2)","[(69, 231), (203, 204), (153, 157)]"
,3,"(0, 1, 3)","[(69, 231), (203, 204), (117, 184)]"
,3,"(0, 1, 5)","[(69, 231), (203, 204), (91, 189)]"
,3,"(0, 5, 6)","[(69, 231), (91, 189), (72, 180)]"
,3,"(0, 6, 7)","[(69, 231), (72, 180), (39, 1)]"
,3,"(1, 2, 3)","[(203, 204), (153, 157), (117, 184)]"
,3,"(1, 2, 4)","[(203, 204), (153, 157), (128, 167)]"
,3,"(1, 2, 7)","[(203, 204), (153, 157), (39, 1)]"
,3,"(2, 4, 7)","[(153, 157), (128, 167), (39, 1)]"
,3,"(2, 6, 7)","[(153, 157), (72, 180), (39, 1)]"
,3,"(4, 6, 7)","[(128, 167), (72, 180), (39, 1)]"
,3,"(5, 6, 7)","[(91, 189), (72, 180), (39, 1)]"
,4,"(0, 1, 2, 3)","[(69, 231), (203, 204), (153, 157), (117, 184)]"
,4,"(0, 1, 3, 5)","[(69, 231), (203, 204), (117, 184), (91, 189)]"
,4,"(0, 1, 5, 6)","[(69, 231), (203, 204), (91, 189), (72, 180)]"
,4,"(0, 3, 5, 6)","[(69, 231), (117, 184), (91, 189), (72, 180)]"
,4,"(0, 5, 6, 7)","[(69, 231), (91, 189), (72, 180), (39, 1)]"
