PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(50, 6)",2,"(0, 1)","[(50, 6), (37, 23)]"
"(37, 23)",2,"(0, 6)","[(50, 6), (92, 64)]"
"(153, 249)",2,"(0, 7)","[(50, 6), (218, 216)]"
"(142, 206)",2,"(1, 2)","[(37, 23), (153, 249)]"
"(171, 227)",2,"(2, 3)","[(153, 249), (142, 206)]"
"(190, 220)",2,"(2, 4)","[(153, 249), (171, 227)]"
"(92, 64)",2,"(2, 7)","[(153, 249), (218, 216)]"
"(218, 216)",2,"(5, 7)","[(190, 220), (218, 216)]"
,2,"(6, 7)","[(92, 64), (218, 216)]"
,3,"(0, 1, 2)","[(50, 6), (37, 23), (153, 249)]"
,3,"(0, 1, 6)","[(50, 6), (37, 23), (92, 64)]"
,3,"(0, 6, 7)","[(50, 6), (92, 64), (218, 216)]"
,3,"(1, 2, 3)","[(37, 23), (153, 249), (142, 206)]"
,3,"(2, 3, 4)","[(153, 249), (142, 206), (171, 227)]"
,3,"(2, 4, 5)","[(153, 249), (171, 227), (190, 220)]"
,3,"(2, 4, 7)","[(153, 249), (171, 227), (218, 216)]"
,3,"(2, 5, 7)","[(153, 249), (190, 220), (218, 216)]"
,3,"(4, 5, 7)","[(171, 227), (190, 220), (218, 216)]"
,3,"(5, 6, 7)","[(190, 220), (92, 64), (218, 216)]"
,4,"(0, 1, 2, 3)","[(50, 6), (37, 23), (153, 249), (142, 206)]"
,4,"(0, 1, 2, 6)","[(50, 6), (37, 23), (153, 249), (92, 64)]"
,4,"(0, 1, 3, 6)","[(50, 6), (37, 23), (142, 206), (92, 64)]"
,4,"(0, 1, 6, 7)","[(50, 6), (37, 23), (92, 64), (218, 216)]"
,4,"(0, 5, 6, 7)","[(50, 6), (190, 220), (92, 64), (218, 216)]"
