PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(102, 69)",2,"(0, 1)","[(102, 69), (67, 63)]"
"(67, 63)",2,"(0, 7)","[(102, 69), (207, 99)]"
"(48, 64)",2,"(1, 2)","[(67, 63), (48, 64)]"
"(86, 119)",2,"(2, 3)","[(48, 64), (86, 119)]"
"(126, 193)",2,"(2, 4)","[(48, 64), (126, 193)]"
"(166, 108)",2,"(3, 4)","[(86, 119), (126, 193)]"
"(176, 96)",2,"(4, 5)","[(126, 193), (166, 108)]"
"(207, 99)",2,"(4, 7)","[(126, 193), (207, 99)]"
,2,"(6, 7)","[(176, 96), (207, 99)]"
,3,"(0, 1, 2)","[(102, 69), (67, 63), (48, 64)]"
,3,"(0, 1, 7)","[(102, 69), (67, 63), (207, 99)]"
,3,"(0, 6, 7)","[(102, 69), (176, 96), (207, 99)]"
,3,"(1, 2, 3)","[(67, 63), (48, 64), (86, 119)]"
,3,"(2, 3, 4)","[(48, 64), (86, 119), (126, 193)]"
,3,"(3, 4, 5)","[(86, 119), (126, 193), (166, 108)]"
,3,"(4, 5, 7)","[(126, 193), (166, 108), (207, 99)]"
,3,"(4, 6, 7)","[(126, 193), (176, 96), (207, 99)]"
,3,"(5, 6, 7)","[(166, 108), (176, 96), (207, 99)]"
,4,"(0, 1, 2, 3)","[(102, 69), (67, 63), (48, 64), (86, 119)]"
,4,"(0, 1, 2, 6)","[(102, 69), (67, 63), (48, 64), (176, 96)]"
,4,"(0, 1, 2, 7)","[(102, 69), (67, 63), (48, 64), (207, 99)]"
,4,"(0, 1, 6, 7)","[(102, 69), (67, 63), (176, 96), (207, 99)]"
,4,"(0, 5, 6, 7)","[(102, 69), (166, 108), (176, 96), (207, 99)]"
