PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(2, 27)",2,"(0, 1)","[(2, 27), (4, 229)]"
"(4, 229)",2,"(0, 4)","[(2, 27), (78, 166)]"
"(72, 184)",2,"(0, 6)","[(2, 27), (160, 133)]"
"(88, 210)",2,"(0, 7)","[(2, 27), (253, 186)]"
"(78, 166)",2,"(1, 2)","[(4, 229), (72, 184)]"
"(100, 160)",2,"(1, 3)","[(4, 229), (88, 210)]"
"(160, 133)",2,"(1, 7)","[(4, 229), (253, 186)]"
"(253, 186)",2,"(3, 7)","[(88, 210), (253, 186)]"
,2,"(6, 7)","[(160, 133), (253, 186)]"
,3,"(0, 1, 2)","[(2, 27), (4, 229), (72, 184)]"
,3,"(0, 1, 4)","[(2, 27), (4, 229), (78, 166)]"
,3,"(0, 4, 5)","[(2, 27), (78, 166), (100, 160)]"
,3,"(0, 4, 6)","[(2, 27), (78, 166), (160, 133)]"
,3,"(0, 5, 6)","[(2, 27), (100, 160), (160, 133)]"
,3,"(0, 6, 7)","[(2, 27), (160, 133), (253, 186)]"
,3,"(1, 2, 3)","[(4, 229), (72, 184), (88, 210)]"
,3,"(1, 3, 7)","[(4, 229), (88, 210), (253, 186)]"
,3,"(3, 6, 7)","[(88, 210), (160, 133), (253, 186)]"
,3,"(5, 6, 7)","[(100, 160), (160, 133), (253, 186)]"
,4,"(0, 1, 2, 3)","[(2, 27), (4, 229), (72, 184), (88, 210)]"
,4,"(0, 1, 2, 4)","[(2, 27), (4, 229), (72, 184), (78, 166)]"
,4,"(0, 1, 4, 5)","[(2, 27), (4, 229), (78, 166), (100, 160)]"
,4,"(0, 2, 4, 5)","[(2, 27), (72, 184), (78, 166), (100, 160)]"
,4,"(0, 4, 5, 6)","[(2, 27), (78, 166), (100, 160), (160, 133)]"
,4,"(0, 5, 6, 7)","[(2, 27), (100, 160), (160, 133), (253, 186)]"
