PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(18, 66)",2,"(0, 1)","[(18, 66), (152, 190)]"
"(152, 190)",2,"(0, 3)","[(18, 66), (120, 151)]"
"(153, 183)",2,"(0, 5)","[(18, 66), (101, 120)]"
"(120, 151)",2,"(0, 7)","[(18, 66), (238, 85)]"
"(122, 138)",2,"(1, 2)","[(152, 190), (153, 183)]"
"(101, 120)",2,"(1, 7)","[(152, 190), (238, 85)]"
"(130, 127)",2,"(2, 7)","[(153, 183), (238, 85)]"
"(238, 85)",2,"(6, 7)","[(130, 127), (238, 85)]"
,3,"(0, 1, 2)","[(18, 66), (152, 190), (153, 183)]"
,3,"(0, 1, 3)","[(18, 66), (152, 190), (120, 151)]"
,3,"(0, 3, 5)","[(18, 66), (120, 151), (101, 120)]"
,3,"(0, 4, 5)","[(18, 66), (122, 138), (101, 120)]"
,3,"(0, 5, 6)","[(18, 66), (101, 120), (130, 127)]"
,3,"(0, 5, 7)","[(18, 66), (101, 120), (238, 85)]"
,3,"(0, 6, 7)","[(18, 66), (130, 127), (238, 85)]"
,3,"(1, 2, 3)","[(152, 190), (153, 183), (120, 151)]"
,3,"(1, 2, 7)","[(152, 190), (153, 183), (238, 85)]"
,3,"(2, 6, 7)","[(153, 183), (130, 127), (238, 85)]"
,3,"(4, 6, 7)","[(122, 138), (130, 127), (238, 85)]"
,3,"(5, 6, 7)","[(101, 120), (130, 127), (238, 85)]"
,4,"(0, 1, 2, 3)","[(18, 66), (152, 190), (153, 183), (120, 151)]"
,4,"(0, 1, 3, 5)","[(18, 66), (152, 190), (120, 151), (101, 120)]"
,4,"(0, 3, 4, 5)","[(18, 66), (120, 151), (122, 138), (101, 120)]"
,4,"(0, 4, 5, 6)","[(18, 66), (122, 138), (101, 120), (130, 127)]"
,4,"(0, 5, 6, 7)","[(18, 66), (101, 120), (130, 127), (238, 85)]"
