PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(254, 9)",2,"(0, 1)","[(254, 9), (5, 18)]"
"(5, 18)",2,"(0, 5)","[(254, 9), (219, 72)]"
"(21, 77)",2,"(0, 7)","[(254, 9), (218, 237)]"
"(100, 127)",2,"(1, 2)","[(5, 18), (21, 77)]"
"(25, 213)",2,"(1, 4)","[(5, 18), (25, 213)]"
"(219, 72)",2,"(2, 4)","[(21, 77), (25, 213)]"
"(165, 221)",2,"(4, 6)","[(25, 213), (165, 221)]"
"(218, 237)",2,"(4, 7)","[(25, 213), (218, 237)]"
,2,"(6, 7)","[(165, 221), (218, 237)]"
,3,"(0, 1, 2)","[(254, 9), (5, 18), (21, 77)]"
,3,"(0, 1, 5)","[(254, 9), (5, 18), (219, 72)]"
,3,"(0, 5, 7)","[(254, 9), (219, 72), (218, 237)]"
,3,"(0, 6, 7)","[(254, 9), (165, 221), (218, 237)]"
,3,"(1, 2, 3)","[(5, 18), (21, 77), (100, 127)]"
,3,"(1, 2, 4)","[(5, 18), (21, 77), (25, 213)]"
,3,"(2, 4, 6)","[(21, 77), (25, 213), (165, 221)]"
,3,"(4, 6, 7)","[(25, 213), (165, 221), (218, 237)]"
,3,"(5, 6, 7)","[(219, 72), (165, 221), (218, 237)]"
,4,"(0, 1, 2, 3)","[(254, 9), (5, 18), (21, 77), (100, 127)]"
,4,"(0, 1, 2, 5)","[(254, 9), (5, 18), (21, 77), (219, 72)]"
,4,"(0, 1, 3, 5)","[(254, 9), (5, 18), (100, 127), (219, 72)]"
,4,"(0, 1, 5, 7)","[(254, 9), (5, 18), (219, 72), (218, 237)]"
,4,"(0, 3, 5, 7)","[(254, 9), (100, 127), (219, 72), (218, 237)]"
,4,"(0, 5, 6, 7)","[(254, 9), (219, 72), (165, 221), (218, 237)]"
