PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(28, 45)",2,"(0, 1)","[(28, 45), (53, 103)]"
"(53, 103)",2,"(0, 6)","[(28, 45), (163, 31)]"
"(188, 238)",2,"(0, 7)","[(28, 45), (221, 3)]"
"(187, 127)",2,"(1, 2)","[(53, 103), (188, 238)]"
"(193, 122)",2,"(2, 3)","[(188, 238), (187, 127)]"
"(177, 97)",2,"(2, 4)","[(188, 238), (193, 122)]"
"(163, 31)",2,"(2, 7)","[(188, 238), (221, 3)]"
"(221, 3)",2,"(4, 7)","[(193, 122), (221, 3)]"
,2,"(6, 7)","[(163, 31), (221, 3)]"
,3,"(0, 1, 2)","[(28, 45), (53, 103), (188, 238)]"
,3,"(0, 1, 6)","[(28, 45), (53, 103), (163, 31)]"
,3,"(0, 6, 7)","[(28, 45), (163, 31), (221, 3)]"
,3,"(1, 2, 3)","[(53, 103), (188, 238), (187, 127)]"
,3,"(2, 3, 4)","[(188, 238), (187, 127), (193, 122)]"
,3,"(2, 4, 7)","[(188, 238), (193, 122), (221, 3)]"
,3,"(3, 4, 7)","[(187, 127), (193, 122), (221, 3)]"
,3,"(4, 6, 7)","[(193, 122), (163, 31), (221, 3)]"
,3,"(5, 6, 7)","[(177, 97), (163, 31), (221, 3)]"
,4,"(0, 1, 2, 3)","[(28, 45), (53, 103), (188, 238), (187, 127)]"
,4,"(0, 1, 2, 5)","[(28, 45), (53, 103), (188, 238), (177, 97)]"
,4,"(0, 1, 2, 6)","[(28, 45), (53, 103), (188, 238), (163, 31)]"
,4,"(0, 1, 5, 6)","[(28, 45), (53, 103), (177, 97), (163, 31)]"
,4,"(0, 1, 6, 7)","[(28, 45), (53, 103), (163, 31), (221, 3)]"
,4,"(0, 5, 6, 7)","[(28, 45), (177, 97), (163, 31), (221, 3)]"
