PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(66, 37)",2,"(0, 1)","[(66, 37), (83, 99)]"
"(83, 99)",2,"(0, 6)","[(66, 37), (160, 24)]"
"(188, 253)",2,"(0, 7)","[(66, 37), (190, 9)]"
"(167, 168)",2,"(1, 2)","[(83, 99), (188, 253)]"
"(123, 100)",2,"(2, 3)","[(188, 253), (167, 168)]"
"(135, 96)",2,"(2, 7)","[(188, 253), (190, 9)]"
"(160, 24)",2,"(6, 7)","[(160, 24), (190, 9)]"
"(190, 9)",3,"(0, 1, 2)","[(66, 37), (83, 99), (188, 253)]"
,3,"(0, 1, 4)","[(66, 37), (83, 99), (123, 100)]"
,3,"(0, 1, 6)","[(66, 37), (83, 99), (160, 24)]"
,3,"(0, 6, 7)","[(66, 37), (160, 24), (190, 9)]"
,3,"(1, 2, 3)","[(83, 99), (188, 253), (167, 168)]"
,3,"(2, 3, 4)","[(188, 253), (167, 168), (123, 100)]"
,3,"(2, 3, 5)","[(188, 253), (167, 168), (135, 96)]"
,3,"(2, 3, 7)","[(188, 253), (167, 168), (190, 9)]"
,3,"(2, 6, 7)","[(188, 253), (160, 24), (190, 9)]"
,3,"(3, 6, 7)","[(167, 168), (160, 24), (190, 9)]"
,3,"(5, 6, 7)","[(135, 96), (160, 24), (190, 9)]"
,4,"(0, 1, 2, 3)","[(66, 37), (83, 99), (188, 253), (167, 168)]"
,4,"(0, 1, 2, 4)","[(66, 37), (83, 99), (188, 253), (123, 100)]"
,4,"(0, 1, 4, 5)","[(66, 37), (83, 99), (123, 100), (135, 96)]"
,4,"(0, 1, 4, 6)","[(66, 37), (83, 99), (123, 100), (160, 24)]"
,4,"(0, 1, 6, 7)","[(66, 37), (83, 99), (160, 24), (190, 9)]"
,4,"(0, 5, 6, 7)","[(66, 37), (135, 96), (160, 24), (190, 9)]"
