PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(82, 198)",2,"(0, 1)","[(82, 198), (205, 183)]"
"(205, 183)",2,"(0, 6)","[(82, 198), (81, 158)]"
"(145, 146)",2,"(0, 7)","[(82, 198), (51, 57)]"
"(111, 134)",2,"(1, 2)","[(205, 183), (145, 146)]"
"(101, 138)",2,"(1, 7)","[(205, 183), (51, 57)]"
"(93, 151)",2,"(2, 7)","[(145, 146), (51, 57)]"
"(81, 158)",2,"(3, 7)","[(111, 134), (51, 57)]"
"(51, 57)",2,"(4, 7)","[(101, 138), (51, 57)]"
,2,"(6, 7)","[(81, 158), (51, 57)]"
,3,"(0, 1, 2)","[(82, 198), (205, 183), (145, 146)]"
,3,"(0, 1, 6)","[(82, 198), (205, 183), (81, 158)]"
,3,"(0, 5, 6)","[(82, 198), (93, 151), (81, 158)]"
,3,"(0, 6, 7)","[(82, 198), (81, 158), (51, 57)]"
,3,"(1, 2, 3)","[(205, 183), (145, 146), (111, 134)]"
,3,"(1, 2, 7)","[(205, 183), (145, 146), (51, 57)]"
,3,"(2, 3, 7)","[(145, 146), (111, 134), (51, 57)]"
,3,"(3, 4, 7)","[(111, 134), (101, 138), (51, 57)]"
,3,"(4, 6, 7)","[(101, 138), (81, 158), (51, 57)]"
,3,"(5, 6, 7)","[(93, 151), (81, 158), (51, 57)]"
,4,"(0, 1, 2, 3)","[(82, 198), (205, 183), (145, 146), (111, 134)]"
,4,"(0, 1, 2, 5)","[(82, 198), (205, 183), (145, 146), (93, 151)]"
,4,"(0, 1, 2, 6)","[(82, 198), (205, 183), (145, 146), (81, 158)]"
,4,"(0, 1, 5, 6)","[(82, 198), (205, 183), (93, 151), (81, 158)]"
,4,"(0, 4, 5, 6)","[(82, 198), (101, 138), (93, 151), (81, 158)]"
,4,"(0, 5, 6, 7)","[(82, 198), (93, 151), (81, 158), (51, 57)]"
