PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(147, 251)",2,"(0, 1)","[(147, 251), (238, 93)]"
"(238, 93)",2,"(0, 6)","[(147, 251), (107, 225)]"
"(190, 4)",2,"(0, 7)","[(147, 251), (18, 186)]"
"(161, 55)",2,"(1, 2)","[(238, 93), (190, 4)]"
"(22, 38)",2,"(2, 3)","[(190, 4), (161, 55)]"
"(79, 148)",2,"(2, 4)","[(190, 4), (22, 38)]"
"(107, 225)",2,"(4, 7)","[(22, 38), (18, 186)]"
"(18, 186)",2,"(6, 7)","[(107, 225), (18, 186)]"
,3,"(0, 1, 2)","[(147, 251), (238, 93), (190, 4)]"
,3,"(0, 1, 6)","[(147, 251), (238, 93), (107, 225)]"
,3,"(0, 6, 7)","[(147, 251), (107, 225), (18, 186)]"
,3,"(1, 2, 3)","[(238, 93), (190, 4), (161, 55)]"
,3,"(2, 3, 4)","[(190, 4), (161, 55), (22, 38)]"
,3,"(2, 4, 7)","[(190, 4), (22, 38), (18, 186)]"
,3,"(4, 5, 7)","[(22, 38), (79, 148), (18, 186)]"
,3,"(4, 6, 7)","[(22, 38), (107, 225), (18, 186)]"
,3,"(5, 6, 7)","[(79, 148), (107, 225), (18, 186)]"
,4,"(0, 1, 2, 3)","[(147, 251), (238, 93), (190, 4), (161, 55)]"
,4,"(0, 1, 2, 6)","[(147, 251), (238, 93), (190, 4), (107, 225)]"
,4,"(0, 1, 3, 6)","[(147, 251), (238, 93), (161, 55), (107, 225)]"
,4,"(0, 1, 5, 6)","[(147, 251), (238, 93), (79, 148), (107, 225)]"
,4,"(0, 1, 6, 7)","[(147, 251), (238, 93), (107, 225), (18, 186)]"
,4,"(0, 5, 6, 7)","[(147, 251), (79, 148), (107, 225), (18, 186)]"
