PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(29, 251)",2,"(0, 1)","[(29, 251), (227, 211)]"
"(227, 211)",2,"(0, 6)","[(29, 251), (37, 216)]"
"(196, 190)",2,"(0, 7)","[(29, 251), (32, 4)]"
"(131, 210)",2,"(1, 2)","[(227, 211), (196, 190)]"
"(137, 203)",2,"(1, 7)","[(227, 211), (32, 4)]"
"(67, 144)",2,"(2, 7)","[(196, 190), (32, 4)]"
"(37, 216)",2,"(5, 7)","[(67, 144), (32, 4)]"
"(32, 4)",2,"(6, 7)","[(37, 216), (32, 4)]"
,3,"(0, 1, 2)","[(29, 251), (227, 211), (196, 190)]"
,3,"(0, 1, 3)","[(29, 251), (227, 211), (131, 210)]"
,3,"(0, 1, 6)","[(29, 251), (227, 211), (37, 216)]"
,3,"(0, 3, 6)","[(29, 251), (131, 210), (37, 216)]"
,3,"(0, 5, 6)","[(29, 251), (67, 144), (37, 216)]"
,3,"(0, 6, 7)","[(29, 251), (37, 216), (32, 4)]"
,3,"(1, 2, 3)","[(227, 211), (196, 190), (131, 210)]"
,3,"(1, 2, 4)","[(227, 211), (196, 190), (137, 203)]"
,3,"(1, 2, 7)","[(227, 211), (196, 190), (32, 4)]"
,3,"(2, 5, 7)","[(196, 190), (67, 144), (32, 4)]"
,3,"(5, 6, 7)","[(67, 144), (37, 216), (32, 4)]"
,4,"(0, 1, 2, 3)","[(29, 251), (227, 211), (196, 190), (131, 210)]"
,4,"(0, 1, 3, 4)","[(29, 251), (227, 211), (131, 210), (137, 203)]"
,4,"(0, 1, 3, 6)","[(29, 251), (227, 211), (131, 210), (37, 216)]"
,4,"(0, 3, 4, 6)","[(29, 251), (131, 210), (137, 203), (37, 216)]"
,4,"(0, 3, 5, 6)","[(29, 251), (131, 210), (67, 144), (37, 216)]"
,4,"(0, 5, 6, 7)","[(29, 251), (67, 144), (37, 216), (32, 4)]"
