PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(254, 18)",2,"(0, 1)","[(254, 18), (98, 48)]"
"(98, 48)",2,"(0, 4)","[(254, 18), (180, 73)]"
"(12, 177)",2,"(0, 7)","[(254, 18), (243, 218)]"
"(107, 121)",2,"(1, 2)","[(98, 48), (12, 177)]"
"(180, 73)",2,"(2, 3)","[(12, 177), (107, 121)]"
"(112, 129)",2,"(2, 5)","[(12, 177), (112, 129)]"
"(161, 110)",2,"(2, 7)","[(12, 177), (243, 218)]"
"(243, 218)",2,"(6, 7)","[(161, 110), (243, 218)]"
,3,"(0, 1, 2)","[(254, 18), (98, 48), (12, 177)]"
,3,"(0, 1, 4)","[(254, 18), (98, 48), (180, 73)]"
,3,"(0, 4, 6)","[(254, 18), (180, 73), (161, 110)]"
,3,"(0, 4, 7)","[(254, 18), (180, 73), (243, 218)]"
,3,"(0, 6, 7)","[(254, 18), (161, 110), (243, 218)]"
,3,"(1, 2, 3)","[(98, 48), (12, 177), (107, 121)]"
,3,"(2, 3, 5)","[(12, 177), (107, 121), (112, 129)]"
,3,"(2, 5, 7)","[(12, 177), (112, 129), (243, 218)]"
,3,"(2, 6, 7)","[(12, 177), (161, 110), (243, 218)]"
,3,"(5, 6, 7)","[(112, 129), (161, 110), (243, 218)]"
,4,"(0, 1, 2, 3)","[(254, 18), (98, 48), (12, 177), (107, 121)]"
,4,"(0, 1, 2, 4)","[(254, 18), (98, 48), (12, 177), (180, 73)]"
,4,"(0, 1, 3, 4)","[(254, 18), (98, 48), (107, 121), (180, 73)]"
,4,"(0, 1, 4, 6)","[(254, 18), (98, 48), (180, 73), (161, 110)]"
,4,"(0, 4, 6, 7)","[(254, 18), (180, 73), (161, 110), (243, 218)]"
,4,"(0, 5, 6, 7)","[(254, 18), (112, 129), (161, 110), (243, 218)]"
