PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(254, 29)",2,"(0, 1)","[(254, 29), (1, 4)]"
"(1, 4)",2,"(0, 5)","[(254, 29), (207, 127)]"
"(106, 121)",2,"(0, 7)","[(254, 29), (219, 252)]"
"(135, 105)",2,"(1, 2)","[(1, 4), (106, 121)]"
"(196, 125)",2,"(1, 7)","[(1, 4), (219, 252)]"
"(207, 127)",2,"(2, 7)","[(106, 121), (219, 252)]"
"(199, 150)",2,"(6, 7)","[(199, 150), (219, 252)]"
"(219, 252)",3,"(0, 1, 2)","[(254, 29), (1, 4), (106, 121)]"
,3,"(0, 1, 3)","[(254, 29), (1, 4), (135, 105)]"
,3,"(0, 1, 5)","[(254, 29), (1, 4), (207, 127)]"
,3,"(0, 4, 5)","[(254, 29), (196, 125), (207, 127)]"
,3,"(0, 5, 7)","[(254, 29), (207, 127), (219, 252)]"
,3,"(0, 6, 7)","[(254, 29), (199, 150), (219, 252)]"
,3,"(1, 2, 3)","[(1, 4), (106, 121), (135, 105)]"
,3,"(1, 2, 7)","[(1, 4), (106, 121), (219, 252)]"
,3,"(2, 3, 7)","[(106, 121), (135, 105), (219, 252)]"
,3,"(2, 6, 7)","[(106, 121), (199, 150), (219, 252)]"
,3,"(5, 6, 7)","[(207, 127), (199, 150), (219, 252)]"
,4,"(0, 1, 2, 3)","[(254, 29), (1, 4), (106, 121), (135, 105)]"
,4,"(0, 1, 3, 4)","[(254, 29), (1, 4), (135, 105), (196, 125)]"
,4,"(0, 1, 3, 5)","[(254, 29), (1, 4), (135, 105), (207, 127)]"
,4,"(0, 1, 4, 5)","[(254, 29), (1, 4), (196, 125), (207, 127)]"
,4,"(0, 4, 5, 6)","[(254, 29), (196, 125), (207, 127), (199, 150)]"
,4,"(0, 4, 5, 7)","[(254, 29), (196, 125), (207, 127), (219, 252)]"
,4,"(0, 5, 6, 7)","[(254, 29), (207, 127), (199, 150), (219, 252)]"
