PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(252, 77)",2,"(0, 1)","[(252, 77), (153, 24)]"
"(153, 24)",2,"(0, 6)","[(252, 77), (152, 174)]"
"(4, 59)",2,"(0, 7)","[(252, 77), (107, 232)]"
"(60, 94)",2,"(1, 2)","[(153, 24), (4, 59)]"
"(149, 112)",2,"(2, 3)","[(4, 59), (60, 94)]"
"(127, 167)",2,"(2, 7)","[(4, 59), (107, 232)]"
"(152, 174)",2,"(5, 7)","[(127, 167), (107, 232)]"
"(107, 232)",2,"(6, 7)","[(152, 174), (107, 232)]"
,3,"(0, 1, 2)","[(252, 77), (153, 24), (4, 59)]"
,3,"(0, 1, 4)","[(252, 77), (153, 24), (149, 112)]"
,3,"(0, 1, 6)","[(252, 77), (153, 24), (152, 174)]"
,3,"(0, 4, 6)","[(252, 77), (149, 112), (152, 174)]"
,3,"(0, 6, 7)","[(252, 77), (152, 174), (107, 232)]"
,3,"(1, 2, 3)","[(153, 24), (4, 59), (60, 94)]"
,3,"(2, 3, 7)","[(4, 59), (60, 94), (107, 232)]"
,3,"(2, 5, 7)","[(4, 59), (127, 167), (107, 232)]"
,3,"(5, 6, 7)","[(127, 167), (152, 174), (107, 232)]"
,4,"(0, 1, 2, 3)","[(252, 77), (153, 24), (4, 59), (60, 94)]"
,4,"(0, 1, 2, 4)","[(252, 77), (153, 24), (4, 59), (149, 112)]"
,4,"(0, 1, 3, 4)","[(252, 77), (153, 24), (60, 94), (149, 112)]"
,4,"(0, 1, 4, 6)","[(252, 77), (153, 24), (149, 112), (152, 174)]"
,4,"(0, 4, 5, 6)","[(252, 77), (149, 112), (127, 167), (152, 174)]"
,4,"(0, 4, 6, 7)","[(252, 77), (149, 112), (152, 174), (107, 232)]"
,4,"(0, 5, 6, 7)","[(252, 77), (127, 167), (152, 174), (107, 232)]"
