PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(188, 228)",2,"(0, 1)","[(188, 228), (251, 139)]"
"(251, 139)",2,"(0, 4)","[(188, 228), (181, 169)]"
"(215, 126)",2,"(0, 7)","[(188, 228), (6, 27)]"
"(183, 163)",2,"(1, 2)","[(251, 139), (215, 126)]"
"(181, 169)",2,"(1, 7)","[(251, 139), (6, 27)]"
"(131, 120)",2,"(2, 7)","[(215, 126), (6, 27)]"
"(118, 103)",2,"(6, 7)","[(118, 103), (6, 27)]"
"(6, 27)",3,"(0, 1, 2)","[(188, 228), (251, 139), (215, 126)]"
,3,"(0, 1, 4)","[(188, 228), (251, 139), (181, 169)]"
,3,"(0, 3, 4)","[(188, 228), (183, 163), (181, 169)]"
,3,"(0, 4, 7)","[(188, 228), (181, 169), (6, 27)]"
,3,"(0, 5, 7)","[(188, 228), (131, 120), (6, 27)]"
,3,"(0, 6, 7)","[(188, 228), (118, 103), (6, 27)]"
,3,"(1, 2, 3)","[(251, 139), (215, 126), (183, 163)]"
,3,"(1, 2, 6)","[(251, 139), (215, 126), (118, 103)]"
,3,"(1, 2, 7)","[(251, 139), (215, 126), (6, 27)]"
,3,"(2, 6, 7)","[(215, 126), (118, 103), (6, 27)]"
,3,"(5, 6, 7)","[(131, 120), (118, 103), (6, 27)]"
,4,"(0, 1, 2, 3)","[(188, 228), (251, 139), (215, 126), (183, 163)]"
,4,"(0, 1, 2, 4)","[(188, 228), (251, 139), (215, 126), (181, 169)]"
,4,"(0, 1, 3, 4)","[(188, 228), (251, 139), (183, 163), (181, 169)]"
,4,"(0, 3, 4, 5)","[(188, 228), (183, 163), (181, 169), (131, 120)]"
,4,"(0, 3, 4, 7)","[(188, 228), (183, 163), (181, 169), (6, 27)]"
,4,"(0, 4, 5, 7)","[(188, 228), (181, 169), (131, 120), (6, 27)]"
,4,"(0, 5, 6, 7)","[(188, 228), (131, 120), (118, 103), (6, 27)]"
