PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(106, 2)",2,"(0, 1)","[(106, 2), (13, 234)]"
"(13, 234)",2,"(0, 5)","[(106, 2), (124, 84)]"
"(67, 246)",2,"(0, 6)","[(106, 2), (203, 48)]"
"(80, 253)",2,"(0, 7)","[(106, 2), (242, 38)]"
"(116, 159)",2,"(1, 2)","[(13, 234), (67, 246)]"
"(124, 84)",2,"(1, 3)","[(13, 234), (80, 253)]"
"(203, 48)",2,"(2, 3)","[(67, 246), (80, 253)]"
"(242, 38)",2,"(3, 7)","[(80, 253), (242, 38)]"
,2,"(6, 7)","[(203, 48), (242, 38)]"
,3,"(0, 1, 2)","[(106, 2), (13, 234), (67, 246)]"
,3,"(0, 1, 5)","[(106, 2), (13, 234), (124, 84)]"
,3,"(0, 5, 6)","[(106, 2), (124, 84), (203, 48)]"
,3,"(0, 6, 7)","[(106, 2), (203, 48), (242, 38)]"
,3,"(1, 2, 3)","[(13, 234), (67, 246), (80, 253)]"
,3,"(2, 3, 4)","[(67, 246), (80, 253), (116, 159)]"
,3,"(2, 3, 7)","[(67, 246), (80, 253), (242, 38)]"
,3,"(3, 6, 7)","[(80, 253), (203, 48), (242, 38)]"
,3,"(4, 6, 7)","[(116, 159), (203, 48), (242, 38)]"
,3,"(5, 6, 7)","[(124, 84), (203, 48), (242, 38)]"
,4,"(0, 1, 2, 3)","[(106, 2), (13, 234), (67, 246), (80, 253)]"
,4,"(0, 1, 2, 5)","[(106, 2), (13, 234), (67, 246), (124, 84)]"
,4,"(0, 1, 4, 5)","[(106, 2), (13, 234), (116, 159), (124, 84)]"
,4,"(0, 1, 5, 6)","[(106, 2), (13, 234), (124, 84), (203, 48)]"
,4,"(0, 5, 6, 7)","[(106, 2), (124, 84), (203, 48), (242, 38)]"
