PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(230, 85)",2,"(0, 1)","[(230, 85), (131, 30)]"
"(131, 30)",2,"(0, 7)","[(230, 85), (228, 218)]"
"(18, 225)",2,"(1, 2)","[(131, 30), (18, 225)]"
"(94, 214)",2,"(2, 3)","[(18, 225), (94, 214)]"
"(170, 152)",2,"(2, 7)","[(18, 225), (228, 218)]"
"(153, 183)",2,"(3, 7)","[(94, 214), (228, 218)]"
"(166, 194)",2,"(6, 7)","[(166, 194), (228, 218)]"
"(228, 218)",3,"(0, 1, 2)","[(230, 85), (131, 30), (18, 225)]"
,3,"(0, 1, 4)","[(230, 85), (131, 30), (170, 152)]"
,3,"(0, 1, 7)","[(230, 85), (131, 30), (228, 218)]"
,3,"(0, 4, 7)","[(230, 85), (170, 152), (228, 218)]"
,3,"(0, 6, 7)","[(230, 85), (166, 194), (228, 218)]"
,3,"(1, 2, 3)","[(131, 30), (18, 225), (94, 214)]"
,3,"(2, 3, 5)","[(18, 225), (94, 214), (153, 183)]"
,3,"(2, 3, 6)","[(18, 225), (94, 214), (166, 194)]"
,3,"(2, 3, 7)","[(18, 225), (94, 214), (228, 218)]"
,3,"(3, 6, 7)","[(94, 214), (166, 194), (228, 218)]"
,3,"(5, 6, 7)","[(153, 183), (166, 194), (228, 218)]"
,4,"(0, 1, 2, 3)","[(230, 85), (131, 30), (18, 225), (94, 214)]"
,4,"(0, 1, 2, 4)","[(230, 85), (131, 30), (18, 225), (170, 152)]"
,4,"(0, 1, 4, 5)","[(230, 85), (131, 30), (170, 152), (153, 183)]"
,4,"(0, 1, 4, 7)","[(230, 85), (131, 30), (170, 152), (228, 218)]"
,4,"(0, 4, 6, 7)","[(230, 85), (170, 152), (166, 194), (228, 218)]"
,4,"(0, 5, 6, 7)","[(230, 85), (153, 183), (166, 194), (228, 218)]"
